# Time-averaged data for fix 2
# TimeStep v_kinEnergy v_temperature
51000 2.9468 1.98437
52000 2.9468 1.98437
53000 2.9468 1.98437
54000 2.9468 1.98437
55000 2.9468 1.98437
56000 2.9468 1.98437
57000 2.9468 1.98437
58000 2.9468 1.98437
59000 2.9468 1.98437
60000 2.9468 1.98437
61000 2.9468 1.98437
62000 2.9468 1.98437
63000 2.9468 1.98437
64000 2.9468 1.98437
65000 2.9468 1.98437
66000 2.9468 1.98437
67000 2.9468 1.98437
68000 2.9468 1.98437
69000 2.9468 1.98437
70000 2.9468 1.98437
71000 2.9468 1.98437
72000 2.9468 1.98437
73000 2.9468 1.98437
74000 2.9468 1.98437
75000 2.9468 1.98437
76000 2.9468 1.98437
77000 2.9468 1.98437
78000 2.9468 1.98437
79000 2.9468 1.98437
80000 2.9468 1.98437
81000 2.9468 1.98437
82000 2.9468 1.98437
83000 2.9468 1.98437
84000 2.9468 1.98437
85000 2.9468 1.98437
86000 2.9468 1.98437
87000 2.9468 1.98437
88000 2.9468 1.98437
89000 2.9468 1.98437
90000 2.9468 1.98437
91000 2.9468 1.98437
92000 2.9468 1.98437
93000 2.9468 1.98437
94000 2.9468 1.98437
95000 2.9468 1.98437
96000 2.9468 1.98437
97000 2.9468 1.98437
98000 2.9468 1.98437
99000 2.9468 1.98437
100000 2.9468 1.98437
101000 2.9468 1.98437
102000 2.9468 1.98437
103000 2.9468 1.98437
104000 2.9468 1.98437
105000 2.9468 1.98437
106000 2.9468 1.98437
107000 2.9468 1.98437
108000 2.9468 1.98437
109000 2.9468 1.98437
110000 2.9468 1.98437
111000 2.9468 1.98437
112000 2.9468 1.98437
113000 2.9468 1.98437
114000 2.9468 1.98437
115000 2.9468 1.98437
116000 2.9468 1.98437
117000 2.9468 1.98437
118000 2.9468 1.98437
119000 2.9468 1.98437
120000 2.9468 1.98437
121000 2.9468 1.98437
122000 2.9468 1.98437
123000 2.9468 1.98437
124000 2.9468 1.98437
125000 2.9468 1.98437
126000 2.9468 1.98437
127000 2.9468 1.98437
128000 2.9468 1.98437
129000 2.9468 1.98437
130000 2.9468 1.98437
131000 2.9468 1.98437
132000 2.9468 1.98437
133000 2.9468 1.98437
134000 2.9468 1.98437
135000 2.9468 1.98437
136000 2.9468 1.98437
137000 2.9468 1.98437
138000 2.9468 1.98437
139000 2.9468 1.98437
140000 2.9468 1.98437
141000 2.9468 1.98437
142000 2.9468 1.98437
143000 2.9468 1.98437
144000 2.9468 1.98437
145000 2.9468 1.98437
146000 2.9468 1.98437
147000 2.9468 1.98437
148000 2.9468 1.98437
149000 2.9468 1.98437
150000 2.9468 1.98437
151000 2.9468 1.98437
152000 2.9468 1.98437
153000 2.9468 1.98437
154000 2.9468 1.98437
155000 2.9468 1.98437
156000 2.9468 1.98437
157000 2.9468 1.98437
158000 2.9468 1.98437
159000 2.9468 1.98437
160000 2.9468 1.98437
161000 2.9468 1.98437
162000 2.9468 1.98437
163000 2.9468 1.98437
164000 2.9468 1.98437
165000 2.9468 1.98437
166000 2.9468 1.98437
167000 2.9468 1.98437
168000 2.9468 1.98437
169000 2.9468 1.98437
170000 2.9468 1.98437
171000 2.9468 1.98437
172000 2.9468 1.98437
173000 2.9468 1.98437
174000 2.9468 1.98437
175000 2.9468 1.98437
176000 2.9468 1.98437
177000 2.9468 1.98437
178000 2.9468 1.98437
179000 2.9468 1.98437
180000 2.9468 1.98437
181000 2.9468 1.98437
182000 2.9468 1.98437
183000 2.9468 1.98437
184000 2.9468 1.98437
185000 2.9468 1.98437
186000 2.9468 1.98437
187000 2.9468 1.98437
188000 2.9468 1.98437
189000 2.9468 1.98437
190000 2.9468 1.98437
191000 2.9468 1.98437
192000 2.9468 1.98437
193000 2.9468 1.98437
194000 2.9468 1.98437
195000 2.9468 1.98437
196000 2.9468 1.98437
197000 2.9468 1.98437
198000 2.9468 1.98437
199000 2.9468 1.98437
200000 2.9468 1.98437
201000 2.9468 1.98437
202000 2.9468 1.98437
203000 2.9468 1.98437
204000 2.9468 1.98437
205000 2.9468 1.98437
206000 2.9468 1.98437
207000 2.9468 1.98437
208000 2.9468 1.98437
209000 2.9468 1.98437
210000 2.9468 1.98437
211000 2.9468 1.98437
212000 2.9468 1.98437
213000 2.9468 1.98437
214000 2.9468 1.98437
215000 2.9468 1.98437
216000 2.9468 1.98437
217000 2.9468 1.98437
218000 2.9468 1.98437
219000 2.9468 1.98437
220000 2.9468 1.98437
221000 2.9468 1.98437
222000 2.9468 1.98437
223000 2.9468 1.98437
224000 2.9468 1.98437
225000 2.9468 1.98437
226000 2.9468 1.98437
227000 2.9468 1.98437
228000 2.9468 1.98437
229000 2.9468 1.98437
230000 2.9468 1.98437
231000 2.9468 1.98437
232000 2.9468 1.98437
233000 2.9468 1.98437
234000 2.9468 1.98437
235000 2.9468 1.98437
236000 2.9468 1.98437
237000 2.9468 1.98437
238000 2.9468 1.98437
239000 2.9468 1.98437
240000 2.9468 1.98437
241000 2.9468 1.98437
242000 2.9468 1.98437
243000 2.9468 1.98437
244000 2.9468 1.98437
245000 2.9468 1.98437
246000 2.9468 1.98437
247000 2.9468 1.98437
248000 2.9468 1.98437
249000 2.9468 1.98437
250000 2.9468 1.98437
251000 2.9468 1.98437
252000 2.9468 1.98437
253000 2.9468 1.98437
254000 2.9468 1.98437
255000 2.9468 1.98437
256000 2.9468 1.98437
257000 2.9468 1.98437
258000 2.9468 1.98437
259000 2.9468 1.98437
260000 2.9468 1.98437
261000 2.9468 1.98437
262000 2.9468 1.98437
263000 2.9468 1.98437
264000 2.9468 1.98437
265000 2.9468 1.98437
266000 2.9468 1.98437
267000 2.9468 1.98437
268000 2.9468 1.98437
269000 2.9468 1.98437
270000 2.9468 1.98437
271000 2.9468 1.98437
272000 2.9468 1.98437
273000 2.9468 1.98437
274000 2.9468 1.98437
275000 2.9468 1.98437
276000 2.9468 1.98437
277000 2.9468 1.98437
278000 2.9468 1.98437
279000 2.9468 1.98437
280000 2.9468 1.98437
281000 2.9468 1.98437
282000 2.9468 1.98437
283000 2.9468 1.98437
284000 2.9468 1.98437
