# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0 0
63 0.95 0 0
64 0.9652 0.28239 0.01
65 0.9804 1.09481 0.05
66 0.9956 0.796226 0.08
67 1.0108 1.28743 0.13
68 1.026 1.49948 0.19
69 1.0412 0.485342 0.21
70 1.0564 0.942951 0.25
71 1.0716 1.14549 0.3
72 1.0868 1.11367 0.35
73 1.102 1.08316 0.4
74 1.1172 1.897 0.49
75 1.1324 2.25673 0.6
76 1.1476 2.99638 0.75
77 1.1628 1.16742 0.81
78 1.178 2.0854 0.92
79 1.1932 1.84783 1.02
80 1.2084 1.9818 1.13
81 1.2236 1.05429 1.19
82 1.2388 2.22858 1.32
83 1.254 1.50569 1.41
84 1.2692 1.14321 1.48
85 1.2844 1.43526 1.57
86 1.2996 0.778824 1.62
87 1.3148 1.06529 1.69
88 1.33 1.1898 1.77
89 1.3452 1.7446 1.89
90 1.3604 1.13722 1.97
91 1.3756 1.25126 2.06
92 1.3908 0.952046 2.13
93 1.406 1.06465 2.21
94 1.4212 1.042 2.29
95 1.4364 1.14758 2.38
96 1.4516 0.998816 2.46
97 1.4668 0.855945 2.53
98 1.482 1.19782 2.63
99 1.4972 1.29099 2.74
100 1.5124 0.920124 2.82
50100 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0 0
63 0.95 0.582998 0.02
64 0.9652 0.564781 0.04
65 0.9804 0.821106 0.07
66 0.9956 0.530818 0.09
67 1.0108 0.77246 0.12
68 1.026 1.24957 0.17
69 1.0412 0.728012 0.2
70 1.0564 2.12164 0.29
71 1.0716 1.37459 0.35
72 1.0868 2.00461 0.44
73 1.102 1.29979 0.5
74 1.1172 3.16167 0.65
75 1.1324 1.4361 0.72
76 1.1476 1.59807 0.8
77 1.1628 1.55656 0.88
78 1.178 1.32707 0.95
79 1.1932 1.1087 1.01
80 1.2084 1.9818 1.12
81 1.2236 1.23001 1.19
82 1.2388 0.857148 1.24
83 1.254 1.50569 1.33
84 1.2692 1.63316 1.43
85 1.2844 1.11631 1.5
86 1.2996 2.18071 1.64
87 1.3148 0.913105 1.7
88 1.33 1.78471 1.82
89 1.3452 0.872301 1.88
90 1.3604 1.27938 1.97
91 1.3756 0.834173 2.03
92 1.3908 1.76808 2.16
93 1.406 1.06465 2.24
94 1.4212 1.17225 2.33
95 1.4364 1.02007 2.41
96 1.4516 1.24852 2.51
97 1.4668 0.122278 2.52
98 1.482 1.43739 2.64
99 1.4972 1.05626 2.73
100 1.5124 1.72523 2.88
50200 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
58 0.874 0 0
59 0.8892 0 0
60 0.9044 0 0
61 0.9196 0 0
62 0.9348 0.301055 0.01
63 0.95 0 0.01
64 0.9652 0.28239 0.02
65 0.9804 0.821106 0.05
66 0.9956 1.06164 0.09
67 1.0108 1.54492 0.15
68 1.026 0.749742 0.18
69 1.0412 0.242671 0.19
70 1.0564 1.8859 0.27
71 1.0716 2.06188 0.36
72 1.0868 1.55914 0.43
73 1.102 2.59959 0.55
74 1.1172 1.897 0.64
75 1.1324 2.05157 0.74
76 1.1476 1.19855 0.8
77 1.1628 2.14028 0.91
78 1.178 2.27498 1.03
79 1.1932 1.1087 1.09
80 1.2084 1.26114 1.16
81 1.2236 0.70286 1.2
82 1.2388 1.37144 1.28
83 1.254 1.17109 1.35
84 1.2692 1.46984 1.44
85 1.2844 1.43526 1.53
86 1.2996 1.71341 1.64
87 1.3148 0.913105 1.7
88 1.33 1.33853 1.79
89 1.3452 0.872301 1.85
90 1.3604 1.56368 1.96
91 1.3756 2.36349 2.13
92 1.3908 1.22406 2.22
93 1.406 1.06465 2.3
94 1.4212 1.17225 2.39
95 1.4364 1.14758 2.48
96 1.4516 1.12367 2.57
97 1.4668 0.611389 2.62
98 1.482 0.47913 2.66
99 1.4972 0.938902 2.74
100 1.5124 0.690093 2.8
50300 100
1 0.0076 0 0
2 0.0228 0 0
3 0.038 0 0
4 0.0532 0 0
5 0.0684 0 0
6 0.0836 0 0
7 0.0988 0 0
8 0.114 0 0
9 0.1292 0 0
10 0.1444 0 0
11 0.1596 0 0
12 0.1748 0 0
13 0.19 0 0
14 0.2052 0 0
15 0.2204 0 0
16 0.2356 0 0
17 0.2508 0 0
18 0.266 0 0
19 0.2812 0 0
20 0.2964 0 0
21 0.3116 0 0
22 0.3268 0 0
23 0.342 0 0
24 0.3572 0 0
25 0.3724 0 0
26 0.3876 0 0
27 0.4028 0 0
28 0.418 0 0
29 0.4332 0 0
30 0.4484 0 0
31 0.4636 0 0
32 0.4788 0 0
33 0.494 0 0
34 0.5092 0 0
35 0.5244 0 0
36 0.5396 0 0
37 0.5548 0 0
38 0.57 0 0
39 0.5852 0 0
40 0.6004 0 0
41 0.6156 0 0
42 0.6308 0 0
43 0.646 0 0
44 0.6612 0 0
45 0.6764 0 0
46 0.6916 0 0
47 0.7068 0 0
48 0.722 0 0
49 0.7372 0 0
50 0.7524 0 0
51 0.7676 0 0
52 0.7828 0 0
53 0.798 0 0
54 0.8132 0 0
55 0.8284 0 0
56 0.8436 0 0
57 0.8588 0 0
