# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0 0
45 0.9434 0 0
46 0.9646 0.405433 0.02
47 0.9858 0.776367 0.06
48 1.007 1.11603 0.12
49 1.0282 1.78415 0.22
50 1.0494 1.88407 0.33
51 1.0706 1.48107 0.42
52 1.0918 1.42411 0.51
53 1.113 1.37038 0.6
54 1.1342 2.78588 0.79
55 1.1554 1.69553 0.91
56 1.1766 1.22624 1
57 1.1978 2.10349 1.16
58 1.219 1.7771 1.3
59 1.2402 1.83949 1.45
60 1.2614 1.54109 1.58
61 1.2826 2.63716 1.81
62 1.3038 1.55345 1.95
63 1.325 0.966947 2.04
64 1.3462 1.24898 2.16
65 1.3674 1.31143 2.29
66 1.3886 1.07605 2.4
67 1.4098 0.854123 2.49
68 1.431 1.19745 2.62
69 1.4522 1.0733 2.74
70 1.4734 1.04264 2.86
71 1.4946 1.01327 2.98
72 1.5158 1.39559 3.15
73 1.537 0.958137 3.27
74 1.5582 0.854557 3.38
75 1.5794 0.756154 3.48
76 1.6006 1.10438 3.63
77 1.6218 0.788848 3.74
78 1.643 1.25774 3.92
79 1.6642 0.544847 4
80 1.6854 1.46087 4.22
81 1.7066 0.712401 4.33
82 1.7278 1.01095 4.49
83 1.749 0.924927 4.64
84 1.7702 0.722325 4.76
85 1.7914 1.11677 4.95
86 1.8126 0.746338 5.08
87 1.8338 0.953545 5.25
88 1.855 0.986691 5.43
89 1.8762 1.33961 5.68
90 1.8974 1.15266 5.9
91 1.9186 0.666149 6.03
92 1.9398 1.25321 6.28
93 1.961 1.17721 6.52
94 1.9822 0.960135 6.72
95 2.0034 0.751938 6.88
96 2.0246 1.10441 7.12
97 2.0458 0.856297 7.31
98 2.067 0.882971 7.51
99 2.0882 0.77862 7.69
100 2.1094 1.10218 7.95
50300 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
16 0.3286 0 0
17 0.3498 0 0
18 0.371 0 0
19 0.3922 0 0
20 0.4134 0 0
21 0.4346 0 0
22 0.4558 0 0
23 0.477 0 0
24 0.4982 0 0
25 0.5194 0 0
26 0.5406 0 0
27 0.5618 0 0
28 0.583 0 0
29 0.6042 0 0
30 0.6254 0 0
31 0.6466 0 0
32 0.6678 0 0
33 0.689 0 0
34 0.7102 0 0
35 0.7314 0 0
36 0.7526 0 0
37 0.7738 0 0
38 0.795 0 0
39 0.8162 0 0
40 0.8374 0 0
41 0.8586 0 0
42 0.8798 0 0
43 0.901 0 0
44 0.9222 0.221785 0.01
45 0.9434 0.423859 0.03
46 0.9646 0.202717 0.04
47 0.9858 0.582275 0.07
48 1.007 0.930028 0.12
49 1.0282 1.2489 0.19
50 1.0494 1.37023 0.27
51 1.0706 2.46845 0.42
52 1.0918 1.26588 0.5
53 1.113 1.52264 0.6
54 1.1342 1.61288 0.71
55 1.1554 1.13035 0.79
56 1.1766 2.17998 0.95
57 1.1978 2.23496 1.12
58 1.219 2.03097 1.28
59 1.2402 1.96213 1.44
60 1.2614 2.608 1.66
61 1.2826 1.71989 1.81
62 1.3038 1.66441 1.96
63 1.325 1.28926 2.08
64 1.3462 1.24898 2.2
65 1.3674 0.403517 2.24
66 1.3886 1.27169 2.37
67 1.4098 1.42354 2.52
68 1.431 1.10534 2.64
69 1.4522 1.0733 2.76
70 1.4734 1.21641 2.9
71 1.4946 0.928831 3.01
72 1.5158 0.820938 3.11
73 1.537 1.19767 3.26
74 1.5582 0.77687 3.36
75 1.5794 1.05862 3.5
76 1.6006 0.368128 3.55
77 1.6218 0.788848 3.66
78 1.643 1.118 3.82
79 1.6642 0.749164 3.93
80 1.6854 1.19526 4.11
81 1.7066 0.841929 4.24
82 1.7278 0.884579 4.38
83 1.749 0.924927 4.53
84 1.7702 1.26407 4.74
85 1.7914 0.646552 4.85
86 1.8126 1.20562 5.06
87 1.8338 1.00964 5.24
88 1.855 0.328897 5.3
89 1.8762 1.55395 5.59
90 1.8974 1.41463 5.86
91 1.9186 1.17857 6.09
92 1.9398 0.902309 6.27
93 1.961 0.735755 6.42
94 1.9822 1.29618 6.69
95 2.0034 1.08091 6.92
96 2.0246 0.78229 7.09
97 2.0458 1.35205 7.39
98 2.067 0.573931 7.52
99 2.0882 1.03816 7.76
100 2.1094 0.763049 7.94
50400 100
1 0.0106 0 0
2 0.0318 0 0
3 0.053 0 0
4 0.0742 0 0
5 0.0954 0 0
6 0.1166 0 0
7 0.1378 0 0
8 0.159 0 0
9 0.1802 0 0
10 0.2014 0 0
11 0.2226 0 0
12 0.2438 0 0
13 0.265 0 0
14 0.2862 0 0
15 0.3074 0 0
