# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0176 0 0
2 0.0528 0 0
3 0.088 0 0
4 0.1232 0 0
5 0.1584 0 0
6 0.1936 0 0
7 0.2288 0 0
8 0.264 0 0
9 0.2992 0 0
10 0.3344 0 0
11 0.3696 0 0
12 0.4048 0 0
13 0.44 0 0
14 0.4752 0 0
15 0.5104 0 0
16 0.5456 0 0
17 0.5808 0 0
18 0.616 0 0
19 0.6512 0 0
20 0.6864 0 0
21 0.7216 0 0
22 0.7568 0 0
23 0.792 0 0
24 0.8272 0 0
25 0.8624 0 0
26 0.8976 0 0
27 0.9328 0.261093 0.02
28 0.968 0.242452 0.04
29 1.0032 1.24156 0.15
30 1.0384 1.89625 0.33
31 1.0736 2.16817 0.55
32 1.1088 2.30989 0.8
33 1.144 1.47556 0.97
34 1.1792 1.87895 1.2
35 1.2144 2.3108 1.5
36 1.2496 1.60047 1.72
37 1.2848 1.65161 1.96
38 1.32 1.10833 2.13
39 1.3552 1.73189 2.41
40 1.3904 1.17523 2.61
41 1.4256 1.11791 2.81
42 1.4608 1.22439 3.04
43 1.496 1.472 3.33
44 1.5312 0.532972 3.44
45 1.5664 1.38897 3.74
46 1.6016 0.974297 3.96
47 1.6368 1.01765 4.2
48 1.672 0.893981 4.42
49 1.7072 0.779543 4.62
50 1.7424 0.972875 4.88
51 1.7776 1.25829 5.23
52 1.8128 1.00249 5.52
53 1.848 1.09772 5.85
54 1.8832 0.800809 6.1
55 1.9184 1.0495 6.44
56 1.9536 0.982257 6.77
57 1.9888 0.80419 7.05
58 2.024 1.05377 7.43
59 2.0592 1.15201 7.86
60 2.0944 1.13951 8.3
61 2.1296 0.976907 8.69
62 2.1648 1.26053 9.21
63 2.2 1.05621 9.66
64 2.2352 1.06869 10.13
65 2.2704 0.815422 10.5
66 2.3056 0.96168 10.95
67 2.3408 1.05737 11.46
68 2.376 0.965906 11.94
69 2.4112 1.05515 12.48
70 2.4464 0.873152 12.94
71 2.4816 1.16216 13.57
72 2.5168 1.12988 14.2
73 2.552 1.34313 14.97
74 2.5872 1.06922 15.6
75 2.6224 1.15635 16.3
76 2.6576 0.852481 16.83
77 2.6928 1.03401 17.49
78 2.728 1.34333 18.37
79 2.7632 1.10102 19.11
80 2.7984 1.04448 19.83
81 2.8336 1.13188 20.63
82 2.8688 1.03526 21.38
83 2.904 1.19891 22.27
84 2.9392 0.920511 22.97
85 2.9744 0.975897 23.73
86 3.0096 1.00337 24.53
87 3.0448 0.943545 25.3
88 3.08 0.958028 26.1
89 3.1152 1.05356 27
90 3.1504 1.11027 27.97
91 3.1856 0.985122 28.85
92 3.2208 1.12798 29.88
93 3.256 1.02871 30.84
94 3.2912 1.09072 31.88
95 3.3264 1.2115 33.06
96 3.3616 0.914829 33.97
97 3.3968 1.02396 35.01
98 3.432 0.974131 36.02
99 3.4672 1.03005 37.11
100 3.5024 0.870537 38.05
50100 100
1 0.0176 0 0
2 0.0528 0 0
3 0.088 0 0
4 0.1232 0 0
5 0.1584 0 0
6 0.1936 0 0
7 0.2288 0 0
8 0.264 0 0
9 0.2992 0 0
10 0.3344 0 0
11 0.3696 0 0
12 0.4048 0 0
13 0.44 0 0
14 0.4752 0 0
15 0.5104 0 0
16 0.5456 0 0
17 0.5808 0 0
18 0.616 0 0
19 0.6512 0 0
20 0.6864 0 0
21 0.7216 0 0
22 0.7568 0 0
23 0.792 0 0
24 0.8272 0 0
25 0.8624 0 0
26 0.8976 0 0
27 0.9328 0.261093 0.02
28 0.968 0.242452 0.04
29 1.0032 1.12869 0.14
30 1.0384 2.73903 0.4
31 1.0736 1.77396 0.58
32 1.1088 1.75552 0.77
33 1.144 2.25674 1.03
34 1.1792 1.63387 1.23
35 1.2144 2.38782 1.54
36 1.2496 2.03696 1.82
37 1.2848 1.58279 2.05
38 1.32 1.43431 2.27
39 1.3552 1.36077 2.49
40 1.3904 0.705136 2.61
41 1.4256 1.45328 2.87
42 1.4608 1.33086 3.12
43 1.496 1.21821 3.36
44 1.5312 1.01749 3.57
45 1.5664 1.06487 3.8
46 1.6016 0.930011 4.01
47 1.6368 0.84804 4.21
48 1.672 1.34097 4.54
49 1.7072 0.779543 4.74
50 1.7424 0.785784 4.95
51 1.7776 0.934728 5.21
52 1.8128 1.2099 5.56
53 1.848 0.731813 5.78
54 1.8832 0.928938 6.07
55 1.9184 1.01863 6.4
56 1.9536 0.803665 6.67
57 1.9888 1.17756 7.08
58 2.024 0.915116 7.41
59 2.0592 1.20559 7.86
60 2.0944 1.1913 8.32
61 2.1296 0.726418 8.61
62 2.1648 1.0666 9.05
63 2.2 1.07969 9.51
64 2.2352 1.00047 9.95
65 2.2704 1.21211 10.5
66 2.3056 1.30361 11.11
67 2.3408 1.11957 11.65
68 2.376 1.06652 12.18
69 2.4112 1.05515 12.72
70 2.4464 1.04399 13.27
71 2.4816 1.06992 13.85
72 2.5168 1.07607 14.45
73 2.552 1.01171 15.03
74 2.5872 0.984364 15.61
75 2.6224 1.12331 16.29
76 2.6576 1.23851 17.06
77 2.6928 1.11234 17.77
78 2.728 0.885376 18.35
79 2.7632 1.10102 19.09
80 2.7984 1.11702 19.86
81 2.8336 1.08944 20.63
82 2.8688 1.07667 21.41
83 2.904 0.875607 22.06
84 2.9392 1.11776 22.91
85 2.9744 0.834649 23.56
86 3.0096 1.11625 24.45
87 3.0448 1.01707 25.28
88 3.08 1.12568 26.22
89 3.1152 1.06527 27.13
90 3.1504 1.06449 28.06
91 3.1856 1.13065 29.07
92 3.2208 1.00751 29.99
93 3.256 1.06086 30.98
94 3.2912 0.985847 31.92
95 3.3264 0.97536 32.87
96 3.3616 1.18626 34.05
97 3.3968 0.955042 35.02
98 3.432 0.945197 36
99 3.4672 0.954452 37.01
100 3.5024 1.0928 38.19
50200 100
1 0.0176 0 0
2 0.0528 0 0
3 0.088 0 0
4 0.1232 0 0
5 0.1584 0 0
6 0.1936 0 0
7 0.2288 0 0
8 0.264 0 0
9 0.2992 0 0
10 0.3344 0 0
11 0.3696 0 0
12 0.4048 0 0
13 0.44 0 0
14 0.4752 0 0
15 0.5104 0 0
16 0.5456 0 0
17 0.5808 0 0
18 0.616 0 0
19 0.6512 0 0
20 0.6864 0 0
21 0.7216 0 0
22 0.7568 0 0
23 0.792 0 0
24 0.8272 0 0
25 0.8624 0 0
26 0.8976 0 0
27 0.9328 0.130547 0.01
28 0.968 0.60613 0.06
29 1.0032 1.4673 0.19
30 1.0384 1.89625 0.37
31 1.0736 2.66093 0.64
32 1.1088 2.40229 0.9
33 1.144 2.08314 1.14
34 1.1792 1.79726 1.36
35 1.2144 1.92566 1.61
36 1.2496 1.60047 1.83
37 1.2848 1.03226 1.98
38 1.32 1.5647 2.22
39 1.3552 1.36077 2.44
40 1.3904 0.998943 2.61
41 1.4256 1.2297 2.83
42 1.4608 1.06469 3.03
43 1.496 1.37049 3.3
44 1.5312 1.01749 3.51
45 1.5664 1.43527 3.82
46 1.6016 1.06287 4.06
47 1.6368 1.06005 4.31
48 1.672 0.609533 4.46
49 1.7072 1.01341 4.72
50 1.7424 1.01029 4.99
51 1.7776 0.898777 5.24
52 1.8128 1.07162 5.55
53 1.848 0.997927 5.85
54 1.8832 1.1852 6.22
55 1.9184 0.895162 6.51
56 1.9536 0.595307 6.71
57 1.9888 0.746748 6.97
58 2.024 1.24789 7.42
59 2.0592 1.04484 7.81
60 2.0944 1.01002 8.2
61 2.1296 1.20235 8.68
62 2.1648 1.38173 9.25
63 2.2 1.22051 9.77
64 2.2352 1.11416 10.26
65 2.2704 1.34435 10.87
66 2.3056 0.940309 11.31
67 2.3408 0.912242 11.75
68 2.376 1.00615 12.25
69 2.4112 0.859751 12.69
70 2.4464 1.30973 13.38
71 2.4816 0.977686 13.91
72 2.5168 1.12988 14.54
73 2.552 0.959376 15.09
74 2.5872 1.01831 15.69
75 2.6224 1.13983 16.38
76 2.6576 0.948988 16.97
77 2.6928 1.26901 17.78
78 2.728 1.05329 18.47
79 2.7632 1.14566 19.24
80 2.7984 1.00096 19.93
81 2.8336 1.16018 20.75
82 2.8688 0.99385 21.47
83 2.904 0.92949 22.16
84 2.9392 0.920511 22.86
85 2.9744 1.1043 23.72
86 3.0096 0.765071 24.33
87 3.0448 1.23764 25.34
88 3.08 1.02988 26.2
89 3.1152 1.11209 27.15
90 3.1504 1.07594 28.09
91 3.1856 1.01871 29
92 3.2208 1.20463 30.1
93 3.256 0.953699 30.99
94 3.2912 1.03829 31.98
95 3.3264 1.04723 33
96 3.3616 0.965094 33.96
97 3.3968 1.04365 35.02
98 3.432 0.877682 35.93
99 3.4672 1.0773 37.07
100 3.5024 1.02797 38.18
50300 100
1 0.0176 0 0
2 0.0528 0 0
3 0.088 0 0
4 0.1232 0 0
5 0.1584 0 0
6 0.1936 0 0
7 0.2288 0 0
8 0.264 0 0
9 0.2992 0 0
10 0.3344 0 0
11 0.3696 0 0
12 0.4048 0 0
