# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0136 0 0
2 0.0408 0 0
3 0.068 0 0
4 0.0952 0 0
5 0.1224 0 0
6 0.1496 0 0
7 0.1768 0 0
8 0.204 0 0
9 0.2312 0 0
10 0.2584 0 0
11 0.2856 0 0
12 0.3128 0 0
13 0.34 0 0
14 0.3672 0 0
15 0.3944 0 0
16 0.4216 0 0
17 0.4488 0 0
18 0.476 0 0
19 0.5032 0 0
20 0.5304 0 0
21 0.5576 0 0
22 0.5848 0 0
23 0.612 0 0
24 0.6392 0 0
25 0.6664 0 0
26 0.6936 0 0
27 0.7208 0 0
28 0.748 0 0
29 0.7752 0 0
30 0.8024 0 0
31 0.8296 0 0
32 0.8568 0 0
33 0.884 0 0
34 0.9112 0 0
35 0.9384 0 0
36 0.9656 0.315337 0.02
37 0.9928 1.04404 0.09
38 1.02 1.9782 0.23
39 1.0472 1.47461 0.34
40 1.0744 1.78296 0.48
41 1.1016 1.57486 0.61
42 1.1288 1.73063 0.76
43 1.156 1.87017 0.93
44 1.1832 1.47015 1.07
45 1.2104 1.00344 1.17
46 1.2376 2.39955 1.42
47 1.2648 1.65417 1.6
48 1.292 1.14491 1.73
49 1.3192 1.26713 1.88
50 1.3464 1.37865 2.05
51 1.3736 0.779172 2.15
52 1.4008 1.19873 2.31
53 1.428 0.576751 2.39
54 1.4552 0.971937 2.53
55 1.4824 0.936598 2.67
56 1.5096 0.967662 2.82
57 1.5368 1.05821 2.99
58 1.564 1.20203 3.19
59 1.5912 1.10322 3.38
60 1.6184 1.12258 3.58
61 1.6456 0.651465 3.7
62 1.6728 0.998215 3.89
63 1.7 0.966528 4.08
64 1.7272 1.62625 4.41
65 1.7544 0.716463 4.56
66 1.7816 1.25056 4.83
67 1.8088 0.898688 5.03
68 1.836 0.915871 5.24
69 1.8632 1.14342 5.51
70 1.8904 1.23417 5.81
71 1.9176 1.23939 6.12
72 1.9448 1.2827 6.45
73 1.972 0.680487 6.63
74 1.9992 1.10349 6.93
75 2.0264 0.859256 7.17
76 2.0536 0.976086 7.45
77 2.0808 1.08655 7.77
78 2.108 1.09178 8.1
79 2.1352 0.935154 8.39
80 2.1624 1.19474 8.77
81 2.1896 0.827936 9.04
82 2.2168 1.13682 9.42
83 2.244 0.963454 9.75
84 2.2712 0.798013 10.03
85 2.2984 1.00188 10.39
86 2.3256 0.924213 10.73
87 2.3528 1.08887 11.14
88 2.38 0.752675 11.43
89 2.4072 0.93873 11.8
90 2.4344 0.967485 12.19
91 2.4616 1.18884 12.68
92 2.4888 0.854449 13.04
93 2.516 0.905748 13.43
94 2.5432 0.909207 13.83
95 2.5704 0.890067 14.23
96 2.5976 1.08941 14.73
97 2.6248 1.40837 15.39
98 2.652 1.19149 15.96
99 2.6792 0.983095 16.44
100 2.7064 1.10393 16.99
50100 100
1 0.0136 0 0
2 0.0408 0 0
3 0.068 0 0
4 0.0952 0 0
5 0.1224 0 0
6 0.1496 0 0
7 0.1768 0 0
8 0.204 0 0
9 0.2312 0 0
10 0.2584 0 0
11 0.2856 0 0
12 0.3128 0 0
13 0.34 0 0
14 0.3672 0 0
15 0.3944 0 0
16 0.4216 0 0
17 0.4488 0 0
18 0.476 0 0
19 0.5032 0 0
20 0.5304 0 0
21 0.5576 0 0
22 0.5848 0 0
23 0.612 0 0
24 0.6392 0 0
25 0.6664 0 0
26 0.6936 0 0
27 0.7208 0 0
28 0.748 0 0
29 0.7752 0 0
30 0.8024 0 0
31 0.8296 0 0
32 0.8568 0 0
33 0.884 0 0
34 0.9112 0 0
35 0.9384 0.166941 0.01
