# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0196 0 0
2 0.0588 0 0
3 0.098 0 0
4 0.1372 0 0
5 0.1764 0 0
6 0.2156 0 0
7 0.2548 0 0
8 0.294 0 0
9 0.3332 0 0
10 0.3724 0 0
11 0.4116 0 0
12 0.4508 0 0
13 0.49 0 0
14 0.5292 0 0
15 0.5684 0 0
16 0.6076 0 0
17 0.6468 0 0
18 0.686 0 0
19 0.7252 0 0
20 0.7644 0 0
21 0.8036 0 0
22 0.8428 0 0
23 0.882 0 0
24 0.9212 0.120193 0.01
25 0.9604 0.331747 0.04
26 0.9996 0.816644 0.12
27 1.0388 1.13427 0.24
28 1.078 3.24764 0.61
29 1.1172 1.87963 0.84
30 1.1564 1.90692 1.09
31 1.1956 2.06937 1.38
32 1.2348 1.67248 1.63
33 1.274 1.44546 1.86
34 1.3132 1.18301 2.06
35 1.3524 0.613484 2.17
36 1.3916 1.36951 2.43
37 1.4308 1.24568 2.68
38 1.47 1.55777 3.01
39 1.5092 1.34355 3.31
40 1.5484 1.23384 3.6
41 1.5876 1.21414 3.9
42 1.6268 0.770889 4.1
43 1.666 1.10256 4.4
44 1.7052 1.29802 4.77
45 1.7444 1.07273 5.09
46 1.7836 1.25056 5.48
47 1.8228 0.921038 5.78
48 1.862 0.735556 6.03
49 1.9012 1.0442 6.4
50 1.9404 1.35464 6.9
51 1.9796 0.911066 7.25
52 2.0188 1.22644 7.74
53 2.058 1.25242 8.26
54 2.0972 0.927724 8.66
55 2.1364 1.05044 9.13
56 2.1756 0.775861 9.49
57 2.2148 0.873414 9.91
58 2.254 1.00393 10.41
59 2.2932 1.14448 11
60 2.3324 1.25635 11.67
61 2.3716 1.17889 12.32
62 2.4108 1.24617 13.03
63 2.45 1.05366 13.65
64 2.4892 1.15245 14.35
65 2.5284 1.27656 15.15
66 2.5676 0.943882 15.76
67 2.6068 1.14088 16.52
68 2.646 0.961628 17.18
69 2.6852 0.976201 17.87
70 2.7244 1.22318 18.76
71 2.7636 1.09523 19.58
72 2.8028 1.12974 20.45
73 2.842 1.14931 21.36
74 2.8812 1.08138 22.24
75 2.9204 1.14824 23.2
76 2.9596 1.12967 24.17
77 2.9988 0.964204 25.02
78 3.038 0.906324 25.84
79 3.0772 0.904926 26.68
80 3.1164 0.976836 27.61
81 3.1556 1.27029 28.85
82 3.1948 0.939477 29.79
83 3.234 0.946101 30.76
84 3.2732 1.03783 31.85
85 3.3124 0.911143 32.83
86 3.3516 1.11698 34.06
87 3.3908 0.763028 34.92
88 3.43 0.867078 35.92
89 3.4692 1.0934 37.21
