# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0206 0 0
2 0.0618 0 0
3 0.103 0 0
4 0.1442 0 0
5 0.1854 0 0
6 0.2266 0 0
7 0.2678 0 0
8 0.309 0 0
9 0.3502 0 0
10 0.3914 0 0
11 0.4326 0 0
12 0.4738 0 0
13 0.515 0 0
14 0.5562 0 0
15 0.5974 0 0
16 0.6386 0 0
17 0.6798 0 0
18 0.721 0 0
19 0.7622 0 0
20 0.8034 0 0
21 0.8446 0 0
22 0.8858 0 0
23 0.927 0.11293 0.01
24 0.9682 0.621148 0.07
25 1.0094 1.52396 0.23
26 1.0506 1.93434 0.45
27 1.0918 1.70971 0.66
28 1.133 1.89005 0.91
29 1.1742 1.54858 1.13
30 1.2154 1.70818 1.39
31 1.2566 2.15117 1.74
32 1.2978 1.49817 2
33 1.339 1.13675 2.21
34 1.3802 1.0699 2.42
35 1.4214 1.53719 2.74
36 1.4626 1.49718 3.07
37 1.5038 1.03002 3.31
38 1.545 0.85384 3.52
39 1.5862 0.848637 3.74
40 1.6274 0.806215 3.96
41 1.6686 0.801754 4.19
42 1.7098 0.763583 4.42
43 1.751 1.04463 4.75
44 1.7922 0.966936 5.07
45 1.8334 1.24158 5.5
46 1.8746 1.07713 5.89
47 1.9158 0.819756 6.2
48 1.957 0.937657 6.57
49 1.9982 1.43416 7.16
50 2.0394 1.3768 7.75
51 2.0806 1.05377 8.22
52 2.1218 1.4013 8.87
53 2.163 1.03725 9.37
54 2.2042 0.878978 9.81
55 2.2454 0.981771 10.32
56 2.2866 0.946712 10.83
57 2.3278 0.931409 11.35
58 2.369 1.15871 12.02
59 2.4102 1.01918 12.63
60 2.4514 1.11442 13.32
61 2.4926 1.07789 14.01
62 2.5338 1.16406 14.78
63 2.575 1.15639 15.57
64 2.6162 1.14861 16.38
65 2.6574 0.86588 17.01
66 2.6986 1.11952 17.85
67 2.7398 1.13783 18.73
68 2.781 1.17966 19.67
69 2.8222 1.02361 20.51
70 2.8634 1.01804 21.37
71 2.9046 1.03539 22.27
72 2.9458 1.05137 23.21
73 2.987 1.02256 24.15
74 3.0282 1.02668 25.12
75 3.0694 0.87568 25.97
76 3.1106 1.01313 26.98
77 3.1518 0.889115 27.89
78 3.193 1.0948 29.04
79 3.2342 1.01141 30.13
80 3.2754 0.922796 31.15
81 3.3166 0.970601 32.25
82 3.3578 0.972754 33.38
83 3.399 0.98292 34.55
84 3.4402 0.910312 35.66
85 3.4814 0.880886 36.76
86 3.5226 1.12634 38.2
87 3.5638 1.15395 39.71
88 3.605 1.08291 41.16
89 3.6462 1.08048 42.64
90 3.6874 0.970809 44
91 3.7286 0.991362 45.42
92 3.7698 0.881026 46.71
93 3.811 0.962322 48.15
94 3.8522 0.97455 49.64
95 3.8934 1.1013 51.36
96 3.9346 1.05328 53.04
97 3.9758 1.01928 54.7
98 4.017 0.926303 56.24
99 4.0582 0.795615 57.59
100 4.0994 1.12624 59.54
50100 100
1 0.0206 0 0
2 0.0618 0 0
3 0.103 0 0
4 0.1442 0 0
5 0.1854 0 0
6 0.2266 0 0
7 0.2678 0 0
8 0.309 0 0
9 0.3502 0 0
10 0.3914 0 0
11 0.4326 0 0
12 0.4738 0 0
13 0.515 0 0
14 0.5562 0 0
15 0.5974 0 0
16 0.6386 0 0
17 0.6798 0 0
18 0.721 0 0
19 0.7622 0 0
20 0.8034 0 0
21 0.8446 0 0
22 0.8858 0 0
23 0.927 0.11293 0.01
24 0.9682 0.517624 0.06
25 1.0094 1.52396 0.22
26 1.0506 1.23094 0.36
27 1.0918 1.38405 0.53
28 1.133 2.41926 0.85
29 1.1742 1.75975 1.1
30 1.2154 2.03667 1.41
31 1.2566 1.53655 1.66
32 1.2978 1.26768 1.88
33 1.339 0.974354 2.06
34 1.3802 0.968004 2.25
35 1.4214 1.82541 2.63
36 1.4626 1.40644 2.94
37 1.5038 1.41627 3.27
38 1.545 1.05714 3.53
39 1.5862 0.887212 3.76
40 1.6274 0.952799 4.02
41 1.6686 1.04577 4.32
42 1.7098 0.663985 4.52
43 1.751 0.949661 4.82
44 1.7922 0.906503 5.12
45 1.8334 0.981716 5.46
46 1.8746 1.07713 5.85
47 1.9158 0.978418 6.22
48 1.957 1.36847 6.76
49 1.9982 0.996622 7.17
50 2.0394 1.21345 7.69
51 2.0806 1.25556 8.25
52 2.1218 0.905454 8.67
53 2.163 0.933526 9.12
54 2.2042 0.839024 9.54
55 2.2454 1.38603 10.26
56 2.2866 0.946712 10.77
57 2.3278 1.16426 11.42
58 2.369 1.03765 12.02
59 2.4102 1.0526 12.65
60 2.4514 1.06597 13.31
61 2.4926 0.859187 13.86
62 2.5338 1.34547 14.75
63 2.575 1.12711 15.52
64 2.6162 1.09189 16.29
65 2.6574 1.07204 17.07
66 2.6986 1.06621 17.87
67 2.7398 0.96974 18.62
68 2.781 1.16711 19.55
69 2.8222 0.889569 20.28
70 2.8634 1.02988 21.15
71 2.9046 1.10441 22.11
72 2.9458 1.00663 23.01
73 2.987 0.902902 23.84
74 3.0282 0.97376 24.76
75 3.0694 1.11263 25.84
76 3.1106 1.18366 27.02
77 3.1518 1.06498 28.11
78 3.193 0.904398 29.06
79 3.2342 0.900061 30.03
80 3.2754 0.931843 31.06
81 3.3166 1.0059 32.2
82 3.3578 1.08466 33.46
83 3.399 0.873706 34.5
84 3.4402 0.869307 35.56
85 3.4814 1.0891 36.92
86 3.5226 0.938619 38.12
87 3.5638 0.978179 39.4
88 3.605 1.02316 40.77
89 3.6462 1.00747 42.15
90 3.6874 0.992224 43.54
91 3.7286 1.06118 45.06
92 3.7698 0.915174 46.4
93 3.811 1.23632 48.25
94 3.8522 0.876441 49.59
95 3.8934 1.14612 51.38
96 3.9346 1.00939 52.99
97 3.9758 1.02542 54.66
98 4.017 1.13081 56.54
99 4.0582 0.860443 58
100 4.0994 0.906766 59.57
50200 100
1 0.0206 0 0
2 0.0618 0 0
3 0.103 0 0
4 0.1442 0 0
5 0.1854 0 0
6 0.2266 0 0
7 0.2678 0 0
8 0.309 0 0
9 0.3502 0 0
10 0.3914 0 0
11 0.4326 0 0
12 0.4738 0 0
13 0.515 0 0
14 0.5562 0 0
15 0.5974 0 0
16 0.6386 0 0
17 0.6798 0 0
18 0.721 0 0
19 0.7622 0 0
20 0.8034 0 0
21 0.8446 0 0
22 0.8858 0 0
23 0.927 0 0
24 0.9682 0.828198 0.08
25 1.0094 1.04772 0.19
26 1.0506 1.14302 0.32
27 1.0918 2.52385 0.63
28 1.133 1.51204 0.83
29 1.1742 1.90053 1.1
30 1.2154 1.51108 1.33
31 1.2566 1.47509 1.57
32 1.2978 1.3253 1.8
33 1.339 1.29914 2.04
34 1.3802 0.917056 2.22
35 1.4214 1.34504 2.5
36 1.4626 1.13423 2.75
37 1.5038 1.2446 3.04
38 1.545 1.42307 3.39
39 1.5862 0.964361 3.64
40 1.6274 1.09938 3.94
