# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0116 0 0
2 0.0348 0 0
3 0.058 0 0
4 0.0812 0 0
5 0.1044 0 0
6 0.1276 0 0
7 0.1508 0 0
8 0.174 0 0
9 0.1972 0 0
10 0.2204 0 0
11 0.2436 0 0
12 0.2668 0 0
13 0.29 0 0
14 0.3132 0 0
15 0.3364 0 0
16 0.3596 0 0
17 0.3828 0 0
18 0.406 0 0
19 0.4292 0 0
20 0.4524 0 0
21 0.4756 0 0
22 0.4988 0 0
23 0.522 0 0
24 0.5452 0 0
25 0.5684 0 0
26 0.5916 0 0
27 0.6148 0 0
28 0.638 0 0
29 0.6612 0 0
30 0.6844 0 0
31 0.7076 0 0
32 0.7308 0 0
33 0.754 0 0
34 0.7772 0 0
35 0.8004 0 0
36 0.8236 0 0
37 0.8468 0 0
38 0.87 0 0
39 0.8932 0.216037 0.01
40 0.9164 0 0.01
41 0.9396 0.195228 0.02
42 0.9628 0.557798 0.05
43 0.986 1.59558 0.14
44 1.0092 0.846146 0.19
45 1.0324 1.29367 0.27
46 1.0556 1.39212 0.36
47 1.0788 1.62908 0.47
48 1.102 2.27086 0.63
49 1.1252 1.90591 0.77
50 1.1484 1.5683 0.89
51 1.1716 1.00454 0.97
52 1.1948 1.69034 1.11
53 1.218 2.09129 1.29
54 1.2412 1.45444 1.42
55 1.2644 1.18593 1.53
56 1.2876 1.35151 1.66
57 1.3108 1.10346 1.77
58 1.334 1.25913 1.9
59 1.3572 1.59074 2.07
60 1.3804 1.71863 2.26
61 1.4036 2.09973 2.5
62 1.4268 1.016 2.62
63 1.45 1.9675 2.86
64 1.4732 0.873593 2.97
65 1.4964 1.07764 3.11
66 1.5196 1.19427 3.27
67 1.5428 1.37586 3.46
68 1.566 1.19483 3.63
69 1.5892 1.09195 3.79
70 1.6124 1.19335 3.97
71 1.6356 0.966449 4.12
72 1.6588 1.00225 4.28
73 1.682 0.792015 4.41
74 1.7052 0.711333 4.53
75 1.7284 1.15394 4.73
76 1.7516 0.95504 4.9
77 1.7748 1.42271 5.16
78 1.798 1.11965 5.37
79 1.8212 1.35114 5.63
80 1.8444 0.861355 5.8
81 1.8676 1.03776 6.01
82 1.8908 1.01245 6.22
83 1.914 1.1292 6.46
84 1.9372 1.19418 6.72
85 1.9604 0.717587 6.88
86 1.9836 1.22657 7.16
87 2.0068 1.15558 7.43
88 2.03 1.58941 7.81
89 2.0532 0.981281 8.05
90 2.0764 1.03943 8.31
91 2.0996 0.899289 8.54
92 2.1228 1.14749 8.84
93 2.146 1.23509 9.17
94 2.1692 1.06229 9.46
95 2.1924 0.89649 9.71
96 2.2156 1.05338 10.01
97 2.2388 1.40993 10.42
98 2.262 1.31379 10.81
99 2.2852 1.0562 11.13
100 2.3084 1.06742 11.46
50100 100
1 0.0116 0 0
2 0.0348 0 0
3 0.058 0 0
4 0.0812 0 0
5 0.1044 0 0
6 0.1276 0 0
7 0.1508 0 0
8 0.174 0 0
9 0.1972 0 0
10 0.2204 0 0
11 0.2436 0 0
12 0.2668 0 0
13 0.29 0 0
14 0.3132 0 0
15 0.3364 0 0
16 0.3596 0 0
17 0.3828 0 0
18 0.406 0 0
19 0.4292 0 0
20 0.4524 0 0
21 0.4756 0 0
22 0.4988 0 0
23 0.522 0 0
24 0.5452 0 0
25 0.5684 0 0
26 0.5916 0 0
27 0.6148 0 0
28 0.638 0 0
29 0.6612 0 0
30 0.6844 0 0
31 0.7076 0 0
32 0.7308 0 0
33 0.754 0 0
34 0.7772 0 0
35 0.8004 0 0
36 0.8236 0 0
37 0.8468 0 0
38 0.87 0 0
39 0.8932 0 0
40 0.9164 0.205237 0.01
41 0.9396 0.195228 0.02
42 0.9628 0 0.02
43 0.986 0.886432 0.07
44 1.0092 1.52306 0.16
45 1.0324 1.94051 0.28
46 1.0556 1.70147 0.39
47 1.0788 1.48098 0.49
48 1.102 1.70314 0.61
49 1.1252 2.04205 0.76
50 1.1484 1.96038 0.91
51 1.1716 1.50681 1.03
52 1.1948 0.965906 1.11
53 1.218 1.85892 1.27
54 1.2412 1.6782 1.42
55 1.2644 1.50937 1.56
56 1.2876 1.76736 1.73
57 1.3108 0.902833 1.82
58 1.334 0.774848 1.9
59 1.3572 1.87146 2.1
60 1.3804 1.53772 2.27
61 1.4036 1.22484 2.41
62 1.4268 0.846668 2.51
63 1.45 1.47563 2.69
64 1.4732 1.11185 2.83
65 1.4964 1.15461 2.98
66 1.5196 0.970343 3.11
67 1.5428 1.44828 3.31
68 1.566 1.3354 3.5
69 1.5892 0.750718 3.61
70 1.6124 1.65743 3.86
71 1.6356 1.15974 4.04
72 1.6588 1.06489 4.21
73 1.682 0.731091 4.33
74 1.7052 1.24483 4.54
75 1.7284 0.865457 4.69
76 1.7516 1.17976 4.9
77 1.7748 0.820796 5.05
78 1.798 1.5995 5.35
79 1.8212 1.55901 5.65
80 1.8444 1.2667 5.9
81 1.8676 1.08717 6.12
82 1.8908 1.15708 6.36
83 1.914 1.2233 6.62
84 1.9372 0.918597 6.82
85 1.9604 1.03153 7.05
86 1.9836 0.832318 7.24
87 2.0068 1.15558 7.51
88 2.03 1.04566 7.76
89 2.0532 0.940394 7.99
90 2.0764 1.11939 8.27
91 2.0996 1.13389 8.56
92 2.1228 1.30049 8.9
93 2.146 1.23509 9.23
94 2.1692 0.98903 9.5
95 2.1924 1.03993 9.79
96 2.2156 0.983151 10.07
97 2.2388 1.13482 10.4
98 2.262 0.875857 10.66
99 2.2852 0.924177 10.94
100 2.3084 1.03508 11.26
50200 100
1 0.0116 0 0
2 0.0348 0 0
3 0.058 0 0
4 0.0812 0 0
5 0.1044 0 0
6 0.1276 0 0
7 0.1508 0 0
8 0.174 0 0
9 0.1972 0 0
10 0.2204 0 0
11 0.2436 0 0
12 0.2668 0 0
13 0.29 0 0
14 0.3132 0 0
15 0.3364 0 0
16 0.3596 0 0
17 0.3828 0 0
18 0.406 0 0
19 0.4292 0 0
20 0.4524 0 0
21 0.4756 0 0
22 0.4988 0 0
23 0.522 0 0
24 0.5452 0 0
25 0.5684 0 0
26 0.5916 0 0
27 0.6148 0 0
28 0.638 0 0
29 0.6612 0 0
30 0.6844 0 0
31 0.7076 0 0
32 0.7308 0 0
33 0.754 0 0
34 0.7772 0 0
35 0.8004 0 0
36 0.8236 0 0
37 0.8468 0 0
38 0.87 0 0
39 0.8932 0 0
40 0.9164 0 0
41 0.9396 0 0
42 0.9628 0.557798 0.03
43 0.986 0.709145 0.07
44 1.0092 0.846146 0.12
45 1.0324 0.970255 0.18
46 1.0556 2.16551 0.32
47 1.0788 0.740492 0.37
48 1.102 1.56121 0.48
49 1.1252 2.31432 0.65
50 1.1484 1.17623 0.74
51 1.1716 2.00907 0.9
52 1.1948 1.81107 1.05
53 1.218 1.27801 1.16
54 1.2412 2.01384 1.34
55 1.2644 1.40156 1.47
56 1.2876 2.70302 1.73
57 1.3108 1.30409 1.86
58 1.334 1.35598 2
59 1.3572 1.49717 2.16
60 1.3804 0.904542 2.26
61 1.4036 1.31233 2.41
62 1.4268 1.43934 2.58
63 1.45 1.22969 2.73
64 1.4732 1.50893 2.92
65 1.4964 1.30856 3.09
66 1.5196 1.94069 3.35
67 1.5428 0.94138 3.48
68 1.566 0.983979 3.62
69 1.5892 1.22845 3.8
70 1.6124 0.795568 3.92
71 1.6356 1.22417 4.11
72 1.6588 0.689043 4.22
73 1.682 0.731091 4.34
74 1.7052 1.18556 4.54
75 1.7284 1.26934 4.76
76 1.7516 1.17976 4.97
77 1.7748 0.711357 5.1
78 1.798 1.33292 5.35
79 1.8212 1.24721 5.59
80 1.8444 0.810687 5.75
81 1.8676 1.33426 6.02
82 1.8908 0.867811 6.2
83 1.914 1.17625 6.45
84 1.9372 0.826737 6.63
85 1.9604 1.12123 6.88
86 1.9836 1.09516 7.13
87 2.0068 1.49797 7.48
88 2.03 1.04566 7.73
89 2.0532 1.14483 8.01
90 2.0764 0.63965 8.17
91 2.0996 1.09479 8.45
92 2.1228 0.803241 8.66
93 2.146 1.23509 8.99
94 2.1692 1.68501 9.45
95 2.1924 0.86063 9.69
96 2.2156 0.948039 9.96
97 2.2388 0.962881 10.24
98 2.262 1.31379 10.63
99 2.2852 1.12221 10.97
100 2.3084 1.00273 11.28
50300 100
1 0.0116 0 0
2 0.0348 0 0
3 0.058 0 0
4 0.0812 0 0
5 0.1044 0 0
6 0.1276 0 0
7 0.1508 0 0
8 0.174 0 0
9 0.1972 0 0
10 0.2204 0 0
11 0.2436 0 0
12 0.2668 0 0
13 0.29 0 0
14 0.3132 0 0
15 0.3364 0 0
16 0.3596 0 0
17 0.3828 0 0
18 0.406 0 0
19 0.4292 0 0
20 0.4524 0 0
21 0.4756 0 0
22 0.4988 0 0
23 0.522 0 0
24 0.5452 0 0
25 0.5684 0 0
26 0.5916 0 0
27 0.6148 0 0
28 0.638 0 0
29 0.6612 0 0
30 0.6844 0 0
31 0.7076 0 0
32 0.7308 0 0
33 0.754 0 0
34 0.7772 0 0
35 0.8004 0 0
36 0.8236 0 0
37 0.8468 0 0
38 0.87 0 0
39 0.8932 0 0
40 0.9164 0 0
41 0.9396 0 0
42 0.9628 0.185933 0.01
43 0.986 0.709145 0.05
44 1.0092 1.86152 0.16
45 1.0324 0.970255 0.22
46 1.0556 1.23744 0.3
47 1.0788 1.77718 0.42
48 1.102 1.41929 0.52
49 1.1252 1.4975 0.63
50 1.1484 2.22176 0.8
51 1.1716 1.88351 0.95
52 1.1948 2.17329 1.13
53 1.218 0.929461 1.21
54 1.2412 2.46136 1.43
55 1.2644 1.94062 1.61
56 1.2876 1.87132 1.79
57 1.3108 0.902833 1.88
58 1.334 1.5497 2.04
59 1.3572 1.49717 2.2
60 1.3804 1.62818 2.38
61 1.4036 1.5748 2.56
62 1.4268 1.10067 2.69
63 1.45 0.983751 2.81
64 1.4732 0.953011 2.93
65 1.4964 1.23159 3.09
66 1.5196 1.26891 3.26
67 1.5428 0.651725 3.35
68 1.566 1.7571 3.6
69 1.5892 1.43319 3.81
70 1.6124 0.861865 3.94
71 1.6356 1.2886 4.14
72 1.6588 0.939605 4.29
73 1.682 1.40126 4.52
74 1.7052 1.12628 4.71
75 1.7284 1.09625 4.9
76 1.7516 0.842683 5.05
77 1.7748 0.984955 5.23
78 1.798 0.959702 5.41
79 1.8212 0.88344 5.58
80 1.8444 0.912023 5.76
81 1.8676 1.23542 6.01
82 1.8908 0.916022 6.2
83 1.914 1.0351 6.42
84 1.9372 0.780807 6.59
85 1.9604 0.986682 6.81
86 1.9836 1.00754 7.04
87 2.0068 1.15558 7.31
88 2.03 0.878358 7.52
89 2.0532 1.02217 7.77
90 2.0764 1.07941 8.04
91 2.0996 1.29028 8.37
92 2.1228 0.91799 8.61
93 2.146 1.34737 8.97
94 2.1692 1.02566 9.25
95 2.1924 1.18337 9.58
96 2.2156 1.26405 9.94
97 2.2388 1.06605 10.25
98 2.262 1.34747 10.65
99 2.2852 1.38626 11.07
100 2.3084 1.00273 11.38
50400 100
1 0.0116 0 0
2 0.0348 0 0
3 0.058 0 0
