# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
17 0.6138 0 0
18 0.651 0 0
19 0.6882 0 0
20 0.7254 0 0
21 0.7626 0 0
22 0.7998 0 0
23 0.837 0 0
24 0.8742 0 0
25 0.9114 0 0
26 0.9486 0.716677 0.06
27 0.9858 0.663615 0.12
28 1.023 1.33518 0.25
29 1.0602 2.29501 0.49
30 1.0974 2.49908 0.77
31 1.1346 2.42141 1.06
32 1.1718 1.40904 1.24
33 1.209 1.32367 1.42
34 1.2462 1.59189 1.65
35 1.2834 1.30518 1.85
36 1.3206 2.09557 2.19
37 1.3578 1.51589 2.45
38 1.395 1.43613 2.71
39 1.4322 1.4149 2.98
40 1.4694 1.49352 3.28
41 1.5066 1.23126 3.54
42 1.5438 1.12754 3.79
43 1.581 1.0751 4.04
44 1.6182 0.862045 4.25
45 1.6554 0.862964 4.47
46 1.6926 1.08809 4.76
47 1.7298 1.22142 5.1
48 1.767 1.23939 5.46
49 1.8042 1.05672 5.78
50 1.8414 1.04616 6.11
51 1.8786 0.974678 6.43
52 1.9158 1.11292 6.81
53 1.953 1.18366 7.23
54 1.9902 1.00413 7.6
55 2.0274 0.863012 7.93
56 2.0646 1.21046 8.41
57 2.1018 0.924663 8.79
58 2.139 1.38616 9.38
59 2.1762 0.953312 9.8
60 2.2134 1.16289 10.33
61 2.2506 1.29455 10.94
62 2.2878 1.3144 11.58
63 2.325 1.45165 12.31
64 2.3622 1.05953 12.86
65 2.3994 0.933577 13.36
66 2.4366 0.9415 13.88
67 2.4738 1.19444 14.56
68 2.511 1.15932 15.24
69 2.5482 0.927059 15.8
70 2.5854 0.948819 16.39
71 2.6226 1.04712 17.06
72 2.6598 0.911676 17.66
73 2.697 1.25616 18.51
74 2.7342 1.00653 19.21
75 2.7714 1.10565 20
76 2.8086 1.24008 20.91
77 2.8458 0.968952 21.64
78 2.883 1.02171 22.43
79 2.9202 1.08408 23.29
80 2.9574 0.946366 24.06
81 2.9946 0.923 24.83
82 3.0318 1.3098 25.95
83 3.069 1.11846 26.93
84 3.1062 1.0027 27.83
85 3.1434 1.02263 28.77
86 3.1806 1.08386 29.79
87 3.2178 1.16276 30.91
88 3.255 0.994291 31.89
89 3.2922 0.932277 32.83
90 3.3294 1.11521 33.98
91 3.3666 1.13812 35.18
92 3.4038 1.12266 36.39
93 3.441 0.99865 37.49
94 3.4782 1.03072 38.65
95 3.5154 1.00902 39.81
96 3.5526 1.00503 40.99
97 3.5898 1.00099 42.19
98 3.627 1.02959 43.45
99 3.6642 1.08085 44.8
100 3.7014 1.00431 46.08
50100 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
17 0.6138 0 0
18 0.651 0 0
19 0.6882 0 0
20 0.7254 0 0
21 0.7626 0 0
22 0.7998 0 0
23 0.837 0 0
24 0.8742 0 0
25 0.9114 0.129394 0.01
26 0.9486 0.238892 0.03
27 0.9858 0.331808 0.06
28 1.023 1.23247 0.18
29 1.0602 1.91251 0.38
30 1.0974 1.69581 0.57
31 1.1346 2.25441 0.84
32 1.1718 3.1312 1.24
33 1.209 2.13258 1.53
34 1.2462 1.52268 1.75
35 1.2834 1.95777 2.05
36 1.3206 1.47922 2.29
37 1.3578 1.5742 2.56
38 1.395 1.32566 2.8
39 1.4322 1.15288 3.02
40 1.4694 0.995682 3.22
41 1.5066 1.08919 3.45
42 1.5438 1.30794 3.74
43 1.581 0.946091 3.96
44 1.6182 0.656796 4.12
45 1.6554 1.29445 4.45
46 1.6926 1.23817 4.78
47 1.7298 0.96995 5.05
48 1.767 1.06725 5.36
49 1.8042 1.35392 5.77
50 1.8414 1.23637 6.16
51 1.8786 0.883302 6.45
52 1.9158 0.937195 6.77
53 1.953 1.07093 7.15
54 1.9902 0.976991 7.51
55 2.0274 0.993772 7.89
56 2.0646 1.08437 8.32
57 2.1018 1.095 8.77
58 2.139 1.19821 9.28
59 2.1762 0.907917 9.68
60 2.2134 1.47007 10.35
61 2.2506 1.23088 10.93
62 2.2878 1.21171 11.52
63 2.325 1.21302 12.13
64 2.3622 1.021 12.66
65 2.3994 1.02693 13.21
66 2.4366 1.12256 13.83
67 2.4738 1.38766 14.62
68 2.511 0.988828 15.2
69 2.5482 0.993278 15.8
70 2.5854 1.06139 16.46
71 2.6226 1.07838 17.15
72 2.6598 1.04843 17.84
73 2.697 1.10837 18.59
74 2.7342 1.16469 19.4
75 2.7714 0.965691 20.09
76 2.8086 0.94028 20.78
77 2.8458 1.00877 21.54
78 2.883 1.1381 22.42
79 2.9202 0.844574 23.09
80 2.9574 1.02011 23.92
81 2.9946 1.00691 24.76
82 3.0318 1.26302 25.84
83 3.069 0.901617 26.63
84 3.1062 1.10297 27.62
85 3.1434 1.17493 28.7
86 3.1806 0.956343 29.6
87 3.2178 1.02779 30.59
88 3.255 1.13633 31.71
89 3.2922 1.08104 32.8
90 3.3294 1.05702 33.89
91 3.3666 0.967402 34.91
92 3.4038 1.15049 36.15
93 3.441 1.07128 37.33
94 3.4782 1.2262 38.71
95 3.5154 1.06991 39.94
96 3.5526 1.03058 41.15
97 3.5898 0.809136 42.12
98 3.627 1.04594 43.4
99 3.6642 1.00879 44.66
100 3.7014 1.14554 46.12
50200 100
1 0.0186 0 0
2 0.0558 0 0
3 0.093 0 0
4 0.1302 0 0
5 0.1674 0 0
6 0.2046 0 0
7 0.2418 0 0
8 0.279 0 0
9 0.3162 0 0
10 0.3534 0 0
11 0.3906 0 0
12 0.4278 0 0
13 0.465 0 0
14 0.5022 0 0
15 0.5394 0 0
16 0.5766 0 0
