# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0156 0 0
2 0.0468 0 0
3 0.078 0 0
4 0.1092 0 0
5 0.1404 0 0
6 0.1716 0 0
7 0.2028 0 0
8 0.234 0 0
9 0.2652 0 0
10 0.2964 0 0
11 0.3276 0 0
12 0.3588 0 0
13 0.39 0 0
14 0.4212 0 0
15 0.4524 0 0
16 0.4836 0 0
17 0.5148 0 0
18 0.546 0 0
19 0.5772 0 0
20 0.6084 0 0
21 0.6396 0 0
22 0.6708 0 0
23 0.702 0 0
24 0.7332 0 0
25 0.7644 0 0
26 0.7956 0 0
27 0.8268 0 0
28 0.858 0 0
29 0.8892 0 0
30 0.9204 0 0
31 0.9516 0.283051 0.02
32 0.9828 0.530733 0.06
33 1.014 1.24644 0.16
34 1.0452 1.99435 0.33
35 1.0764 1.7698 0.49
36 1.1076 1.67151 0.65
37 1.1388 2.47059 0.9
38 1.17 1.5916 1.07
39 1.2012 2.13176 1.31
40 1.2324 1.77205 1.52
41 1.2636 1.04348 1.65
42 1.2948 1.52892 1.85
43 1.326 1.38493 2.04
44 1.3572 1.04368 2.19
45 1.3884 0.864328 2.32
46 1.4196 1.46272 2.55
47 1.4508 0.852469 2.69
48 1.482 1.28379 2.91
49 1.5132 0.839587 3.06
50 1.5444 0.913476 3.23
51 1.5756 1.13579 3.45
52 1.6068 1.09211 3.67
53 1.638 1.57636 4
54 1.6692 1.19599 4.26
55 1.7004 0.930866 4.47
56 1.7316 0.769393 4.65
57 1.7628 0.907377 4.87
58 1.794 1.03538 5.13
59 1.8252 0.961814 5.38
60 1.8564 1.00414 5.65
61 1.8876 0.899275 5.9
62 1.9188 1.25319 6.26
63 1.95 1.24711 6.63
64 1.9812 1.01223 6.94
65 2.0124 0.981085 7.25
66 2.0436 1.04342 7.59
67 2.0748 0.893188 7.89
68 2.106 1.15589 8.29
69 2.1372 1.06627 8.67
70 2.1684 1.25387 9.13
71 2.1996 0.980143 9.5
72 2.2308 1.36499 10.03
73 2.262 1.05206 10.45
74 2.2932 0.877393 10.81
75 2.3244 1.13866 11.29
76 2.3556 0.900819 11.68
77 2.3868 1.03491 12.14
78 2.418 1.00837 12.6
79 2.4492 1.32471 13.22
80 2.4804 1.12493 13.76
81 2.5116 0.893982 14.2
82 2.5428 0.911823 14.66
83 2.574 0.986575 15.17
84 2.6052 0.736478 15.56
85 2.6364 1.05107 16.13
86 2.6676 1.13469 16.76
87 2.6988 1.03822 17.35
88 2.73 0.877047 17.86
89 2.7612 0.90777 18.4
90 2.7924 1.11772 19.08
91 2.8236 0.787713 19.57
92 2.8548 1.05366 20.24
93 2.886 0.954063 20.86
94 2.9172 0.903644 21.46
95 2.9484 1.12052 22.22
96 2.9796 1.01056 22.92
97 3.0108 0.904888 23.56
98 3.042 0.886421 24.2
99 3.0732 1.13993 25.04
100 3.1044 0.944239 25.75
50100 100
1 0.0156 0 0
2 0.0468 0 0
3 0.078 0 0
4 0.1092 0 0
5 0.1404 0 0
6 0.1716 0 0
7 0.2028 0 0
8 0.234 0 0
9 0.2652 0 0
10 0.2964 0 0
11 0.3276 0 0
