# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0 0
33 0.949 0.304101 0.02
34 0.9782 0.572436 0.06
35 1.0074 0.674668 0.11
36 1.0366 1.52927 0.23
37 1.0658 1.80828 0.38
38 1.095 2.39839 0.59
39 1.1242 2.27542 0.8
40 1.1534 1.85286 0.98
41 1.1826 1.95833 1.18
42 1.2118 1.49208 1.34
43 1.241 1.51161 1.51
44 1.2702 1.1034 1.64
45 1.2994 1.94653 1.88
46 1.3286 1.31886 2.05
47 1.3578 1.48558 2.25
48 1.387 1.56606 2.47
49 1.4162 1.09247 2.63
50 1.4454 0.91768 2.77
51 1.4746 1.19659 2.96
52 1.5038 1.45335 3.2
53 1.533 0.874074 3.35
54 1.5622 0.897818 3.51
55 1.5914 1.18961 3.73
56 1.6206 1.04285 3.93
57 1.6498 1.25783 4.18
58 1.679 1.1173 4.41
59 1.7082 0.797839 4.58
60 1.7374 0.589777 4.71
61 1.7666 0.877603 4.91
62 1.7958 1.27394 5.21
63 1.825 1.02792 5.46
64 1.8542 0.9958 5.71
65 1.8834 1.42844 6.08
66 1.9126 1.08566 6.37
67 1.9418 0.617427 6.54
68 1.971 0.775525 6.76
69 2.0002 1.1638 7.1
70 2.0294 0.565276 7.27
71 2.0586 1.2926 7.67
72 2.0878 1.53945 8.16
73 2.117 1.40561 8.62
74 2.1462 0.683809 8.85
75 2.1754 1.04177 9.21
76 2.2046 1.12706 9.61
77 2.2338 0.795898 9.9
78 2.263 0.935938 10.25
79 2.2922 0.860116 10.58
80 2.3214 1.14357 11.03
81 2.3506 0.793124 11.35
82 2.3798 1.32994 11.9
83 2.409 1.03831 12.34
84 2.4382 1.17484 12.85
85 2.4674 1.19219 13.38
86 2.4966 1.03264 13.85
87 2.5258 1.09477 14.36
88 2.555 1.00695 14.84
89 2.5842 1.02534 15.34
90 2.6134 0.942401 15.81
91 2.6426 0.960911 16.3
92 2.6718 0.97839 16.81
93 2.701 0.863493 17.27
94 2.7302 0.716516 17.66
95 2.7594 1.02517 18.23
96 2.7886 1.09187 18.85
97 2.8178 1.13835 19.51
98 2.847 0.946158 20.07
99 2.8762 1.00982 20.68
100 2.9054 0.778717 21.16
50100 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0 0
33 0.949 0.304101 0.02
34 0.9782 0.858653 0.08
35 1.0074 2.29387 0.25
36 1.0366 1.65671 0.38
37 1.0658 1.80828 0.53
38 1.095 1.82734 0.69
39 1.1242 1.6253 0.84
40 1.1534 1.85286 1.02
41 1.1826 1.86042 1.21
42 1.2118 2.42463 1.47
43 1.241 1.68945 1.66
44 1.2702 1.35803 1.82
45 1.2994 1.29769 1.98
46 1.3286 1.47401 2.17
47 1.3578 1.18846 2.33
48 1.387 0.996583 2.47
49 1.4162 0.887632 2.6
50 1.4454 1.57317 2.84
51 1.4746 1.13361 3.02
52 1.5038 1.15057 3.21
53 1.533 1.04889 3.39
54 1.5622 0.673363 3.51
55 1.5914 1.02739 3.7
56 1.6206 0.938563 3.88
57 1.6498 1.05657 4.09
58 1.679 1.06872 4.31
59 1.7082 0.891702 4.5
60 1.7374 0.998084 4.72
61 1.7666 1.097 4.97
62 1.7958 1.10408 5.23
63 1.825 1.02792 5.48
64 1.8542 0.9958 5.73
65 1.8834 0.926556 5.97
66 1.9126 0.973354 6.23
67 1.9418 0.799024 6.45
68 1.971 1.26904 6.81
69 2.0002 1.09534 7.13
70 2.0294 0.931042 7.41
71 2.0586 1.26028 7.8
72 2.0878 1.16244 8.17
73 2.117 1.03893 8.51
74 2.1462 1.04058 8.86
75 2.1754 1.07071 9.23
76 2.2046 1.12706 9.63
77 2.2338 1.0429 10.01
78 2.263 1.06964 10.41
79 2.2922 0.938309 10.77
80 2.3214 1.0165 11.17
81 2.3506 1.09055 11.61
82 2.3798 1.01559 12.03
83 2.409 0.896724 12.41
84 2.4382 1.05966 12.87
85 2.4674 0.877273 13.26
86 2.4966 1.01067 13.72
87 2.5258 0.944505 14.16
88 2.555 1.04891 14.66
89 2.5842 1.10737 15.2
90 2.6134 1.06271 15.73
91 2.6426 1.15701 16.32
92 2.6718 0.920838 16.8
93 2.701 1.16384 17.42
94 2.7302 0.661399 17.78
95 2.7594 1.13308 18.41
96 2.7886 1.02142 18.99
97 2.8178 0.931373 19.53
98 2.847 0.658931 19.92
99 2.8762 1.14225 20.61
100 2.9054 1.05451 21.26
50200 100
1 0.0146 0 0
2 0.0438 0 0
3 0.073 0 0
4 0.1022 0 0
5 0.1314 0 0
6 0.1606 0 0
7 0.1898 0 0
8 0.219 0 0
9 0.2482 0 0
10 0.2774 0 0
11 0.3066 0 0
12 0.3358 0 0
13 0.365 0 0
14 0.3942 0 0
15 0.4234 0 0
16 0.4526 0 0
17 0.4818 0 0
18 0.511 0 0
19 0.5402 0 0
20 0.5694 0 0
21 0.5986 0 0
22 0.6278 0 0
23 0.657 0 0
24 0.6862 0 0
25 0.7154 0 0
26 0.7446 0 0
27 0.7738 0 0
28 0.803 0 0
29 0.8322 0 0
30 0.8614 0 0
31 0.8906 0 0
32 0.9198 0.323714 0.02
33 0.949 0.608202 0.06
34 0.9782 1.00176 0.13
35 1.0074 1.2144 0.22
36 1.0366 1.65671 0.35
37 1.0658 1.32608 0.46
38 1.095 2.05576 0.64
39 1.1242 2.70884 0.89
40 1.1534 2.16168 1.1
41 1.1826 2.25208 1.33
42 1.2118 1.58533 1.5
43 1.241 1.33377 1.65
