# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0 0
29 0.9462 0.134521 0.01
30 0.9794 0.251112 0.03
31 1.0126 1.29204 0.14
32 1.0458 1.87204 0.31
33 1.079 1.65517 0.47
34 1.1122 3.0183 0.78
35 1.1454 1.65244 0.96
36 1.1786 2.08089 1.2
37 1.2118 1.55834 1.39
38 1.245 1.55405 1.59
39 1.2782 1.47437 1.79
40 1.3114 1.61077 2.02
41 1.3446 0.999268 2.17
42 1.3778 1.33237 2.38
43 1.411 0.604958 2.48
44 1.4442 1.15493 2.68
45 1.4774 1.32433 2.92
46 1.5106 1.05563 3.12
47 1.5438 0.808575 3.28
48 1.577 0.920181 3.47
49 1.6102 0.882628 3.66
50 1.6434 0.847327 3.85
51 1.6766 1.32827 4.16
52 1.7098 0.823995 4.36
53 1.743 1.26865 4.68
54 1.7762 0.610833 4.84
55 1.8094 0.993302 5.11
56 1.8426 1.24163 5.46
57 1.8758 1.33499 5.85
58 1.909 1.09066 6.18
59 1.9422 1.34106 6.6
60 1.9754 0.987708 6.92
61 2.0086 1.52255 7.43
62 2.0418 0.924513 7.75
63 2.075 0.951114 8.09
64 2.1082 1.08399 8.49
65 2.1414 0.761715 8.78
66 2.1746 0.942396 9.15
67 2.2078 1.43318 9.73
68 2.241 1.17518 10.22
69 2.2742 1.25756 10.76
70 2.3074 1.06327 11.23
71 2.3406 1.12126 11.74
72 2.3738 0.96187 12.19
73 2.407 1.12262 12.73
74 2.4402 0.890008 13.17
75 2.4734 0.964717 13.66
76 2.5066 1.11186 14.24
77 2.5398 0.914934 14.73
78 2.573 1.00064 15.28
79 2.6062 0.993037 15.84
80 2.6394 0.743449 16.27
81 2.6726 1.06235 16.9
82 2.7058 0.888374 17.44
83 2.739 1.01146 18.07
84 2.7722 0.909018 18.65
85 2.8054 1.13249 19.39
86 2.8386 1.10616 20.13
87 2.8718 1.03692 20.84
88 2.905 1.11326 21.62
89 2.9382 0.962677 22.31
90 2.9714 0.954927 23.01
91 3.0046 1.1741 23.89
92 3.0378 1.005 24.66
93 3.071 0.996161 25.44
94 3.1042 0.849971 26.12
95 3.1374 0.844314 26.81
96 3.1706 0.922577 27.58
97 3.2038 0.985697 28.42
98 3.237 1.01156 29.3
99 3.2702 0.901025 30.1
100 3.3034 1.11479 31.11
50100 100
1 0.0166 0 0
2 0.0498 0 0
3 0.083 0 0
4 0.1162 0 0
5 0.1494 0 0
6 0.1826 0 0
7 0.2158 0 0
8 0.249 0 0
9 0.2822 0 0
10 0.3154 0 0
11 0.3486 0 0
12 0.3818 0 0
13 0.415 0 0
14 0.4482 0 0
15 0.4814 0 0
16 0.5146 0 0
17 0.5478 0 0
18 0.581 0 0
19 0.6142 0 0
20 0.6474 0 0
21 0.6806 0 0
22 0.7138 0 0
23 0.747 0 0
24 0.7802 0 0
25 0.8134 0 0
26 0.8466 0 0
27 0.8798 0 0
28 0.913 0 0
29 0.9462 0.134521 0.01
30 0.9794 0.62778 0.06
31 1.0126 1.05713 0.15
32 1.0458 1.87204 0.32
33 1.079 2.27585 0.54
34 1.1122 1.55783 0.7
35 1.1454 2.29506 0.95
36 1.1786 1.64737 1.14
37 1.2118 1.39431 1.31
38 1.245 1.32094 1.48
39 1.2782 1.69553 1.71
40 1.3114 1.33064 1.9
41 1.3446 1.46559 2.12
42 1.3778 0.824801 2.25
43 1.411 1.33091 2.47
44 1.4442 1.67465 2.76
45 1.4774 0.882886 2.92
46 1.5106 1.1612 3.14
47 1.5438 1.01072 3.34
48 1.577 0.968611 3.54
49 1.6102 0.557449 3.66
50 1.6434 0.981116 3.88
51 1.6766 0.814103 4.07
52 1.7098 0.906395 4.29
53 1.743 1.18936 4.59
54 1.7762 1.06896 4.87
55 1.8094 1.17725 5.19
56 1.8426 1.13521 5.51
57 1.8758 1.2323 5.87
58 1.909 0.991511 6.17
59 1.9422 1.18141 6.54
60 1.9754 1.1729 6.92
61 2.0086 1.04489 7.27
62 2.0418 1.15564 7.67
63 2.075 0.92314 8
64 2.1082 1.11109 8.41
