# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
51 0.8686 0 0
52 0.8858 0 0
53 0.903 0 0
54 0.9202 0 0
55 0.9374 0 0
56 0.9546 0 0
57 0.9718 0.492349 0.02
58 0.989 0.71306 0.05
59 1.0062 0.459261 0.07
60 1.0234 1.99779 0.16
61 1.0406 1.5029 0.23
62 1.0578 1.86997 0.32
63 1.075 0.804716 0.36
64 1.0922 2.14382 0.47
65 1.1094 1.70007 0.56
66 1.1266 2.19807 0.68
67 1.1438 1.59935 0.77
68 1.161 1.37983 0.85
69 1.1782 1.84228 0.96
70 1.1954 2.60312 1.12
71 1.2126 1.42301 1.21
72 1.2298 1.84465 1.33
73 1.247 2.54166 1.5
74 1.2642 1.16375 1.58
75 1.2814 1.13272 1.66
76 1.2986 1.37864 1.76
77 1.3158 1.47712 1.87
78 1.333 1.57009 1.99
79 1.3502 1.40281 2.1
80 1.3674 0.994722 2.18
81 1.3846 1.69778 2.32
82 1.4018 2.12963 2.5
83 1.419 1.61647 2.64
84 1.4362 0.676277 2.7
85 1.4534 0.880488 2.78
86 1.4706 1.07502 2.88
87 1.4878 1.15533 2.99
88 1.505 2.05287 3.19
89 1.5222 0.903032 3.28
90 1.5394 0.784858 3.36
91 1.5566 0.575707 3.42
92 1.5738 1.03252 3.53
93 1.591 1.5614 3.7
94 1.6082 0.359571 3.74
95 1.6254 0.704002 3.82
96 1.6426 1.034 3.94
97 1.6598 0.675123 4.02
98 1.677 1.24002 4.17
99 1.6942 0.728984 4.26
100 1.7114 1.27005 4.42
50100 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
51 0.8686 0 0
52 0.8858 0 0
53 0.903 0 0
54 0.9202 0.274556 0.01
55 0.9374 0.264574 0.02
56 0.9546 0.510251 0.04
57 0.9718 0.738524 0.07
58 0.989 0.71306 0.1
59 1.0062 0.459261 0.12
60 1.0234 1.10988 0.17
61 1.0406 1.5029 0.24
62 1.0578 1.66219 0.32
63 1.075 1.40825 0.39
64 1.0922 1.36425 0.46
65 1.1094 2.07786 0.57
66 1.1266 2.38124 0.7
67 1.1438 1.59935 0.79
68 1.161 2.58719 0.94
69 1.1782 1.33984 1.02
70 1.1954 2.11504 1.15
71 1.2126 1.58112 1.25
72 1.2298 2.45953 1.41
73 1.247 1.79411 1.53
74 1.2642 2.18203 1.68
75 1.2814 1.4159 1.78
76 1.2986 1.9301 1.92
77 1.3158 1.20855 2.01
78 1.333 1.43925 2.12
79 1.3502 1.14775 2.21
80 1.3674 1.2434 2.31
81 1.3846 1.57651 2.44
82 1.4018 0.946501 2.52
83 1.419 1.27008 2.63
84 1.4362 0.901703 2.71
85 1.4534 1.21067 2.82
86 1.4706 2.04253 3.01
87 1.4878 0.945273 3.1
88 1.505 1.12908 3.21
89 1.5222 0.903032 3.3
90 1.5394 0.490536 3.35
91 1.5566 0.959511 3.45
92 1.5738 0.750923 3.53
93 1.591 0.826621 3.62
94 1.6082 1.07871 3.74
95 1.6254 0.880003 3.84
96 1.6426 1.20634 3.98
97 1.6598 1.43464 4.15
98 1.677 0.661346 4.23
99 1.6942 0.566988 4.3
100 1.7114 0.793783 4.4
50200 100
1 0.0086 0 0
2 0.0258 0 0
3 0.043 0 0
4 0.0602 0 0
5 0.0774 0 0
6 0.0946 0 0
7 0.1118 0 0
8 0.129 0 0
9 0.1462 0 0
10 0.1634 0 0
11 0.1806 0 0
12 0.1978 0 0
13 0.215 0 0
14 0.2322 0 0
15 0.2494 0 0
16 0.2666 0 0
17 0.2838 0 0
18 0.301 0 0
19 0.3182 0 0
20 0.3354 0 0
21 0.3526 0 0
22 0.3698 0 0
23 0.387 0 0
24 0.4042 0 0
25 0.4214 0 0
26 0.4386 0 0
27 0.4558 0 0
28 0.473 0 0
29 0.4902 0 0
30 0.5074 0 0
31 0.5246 0 0
32 0.5418 0 0
33 0.559 0 0
34 0.5762 0 0
35 0.5934 0 0
36 0.6106 0 0
37 0.6278 0 0
38 0.645 0 0
39 0.6622 0 0
40 0.6794 0 0
41 0.6966 0 0
42 0.7138 0 0
43 0.731 0 0
44 0.7482 0 0
45 0.7654 0 0
46 0.7826 0 0
47 0.7998 0 0
48 0.817 0 0
49 0.8342 0 0
50 0.8514 0 0
51 0.8686 0 0
52 0.8858 0 0
53 0.903 0 0
54 0.9202 0.274556 0.01
55 0.9374 0.264574 0.02
56 0.9546 0 0.02
57 0.9718 0.492349 0.04
