# Time-averaged data for fix rdf_out
# TimeStep Number-of-rows
# Row c_rdf_all[1] c_rdf_all[2] c_rdf_all[3]
50000 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0 0
38 0.945 0 0
39 0.9702 0.674294 0.04
40 0.9954 0.48044 0.07
41 1.0206 0.761681 0.12
42 1.0458 2.90167 0.32
43 1.071 1.10669 0.4
44 1.0962 1.5846 0.52
45 1.1214 1.89273 0.67
46 1.1466 1.93115 0.83
47 1.1718 2.42679 1.04
48 1.197 1.77195 1.2
49 1.2222 2.01832 1.39
50 1.2474 1.73364 1.56
51 1.2726 1.66566 1.73
52 1.2978 1.13055 1.85
53 1.323 1.81315 2.05
54 1.3482 1.4841 2.22
55 1.3734 0.673008 2.3
56 1.3986 1.70356 2.51
57 1.4238 1.40896 2.69
58 1.449 1.28481 2.86
59 1.4742 1.31427 3.04
60 1.4994 0.705816 3.14
61 1.5246 1.02401 3.29
62 1.5498 1.58558 3.53
63 1.575 0.767622 3.65
64 1.6002 1.17742 3.84
65 1.6254 0.720756 3.96
66 1.6506 0.75716 4.09
67 1.6758 0.791065 4.23
68 1.701 0.712957 4.36
69 1.7262 0.745546 4.5
70 1.7514 1.44849 4.78
71 1.7766 0.804396 4.94
72 1.8018 0.928688 5.13
73 1.827 0.855707 5.31
74 1.8522 0.832581 5.49
75 1.8774 0.990465 5.71
76 1.9026 1.09591 5.96
77 1.9278 0.896656 6.17
78 1.953 0.956872 6.4
79 1.9782 0.973199 6.64
80 2.0034 1.06748 6.91
81 2.0286 0.886882 7.14
82 2.0538 1.05335 7.42
83 2.079 0.881117 7.66
84 2.1042 0.967656 7.93
85 2.1294 1.18986 8.27
86 2.1546 0.854552 8.52
87 2.1798 0.834908 8.77
88 2.205 0.97912 9.07
89 2.2302 1.11664 9.42
90 2.2554 1.18541 9.8
91 2.2806 1.03732 10.14
92 2.3058 0.686462 10.37
93 2.331 0.992948 10.71
94 2.3562 1.3434 11.18
95 2.3814 1.2032 11.61
96 2.4066 1.28772 12.08
97 2.4318 1.12701 12.5
98 2.457 1.07772 12.91
99 2.4822 1.10746 13.34
100 2.5074 1.26199 13.84
50100 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0 0
38 0.945 0.177684 0.01
39 0.9702 0.168574 0.02
40 0.9954 0.640587 0.06
41 1.0206 2.89439 0.25
42 1.0458 1.59592 0.36
43 1.071 2.49006 0.54
44 1.0962 1.5846 0.66
45 1.1214 1.00946 0.74
46 1.1466 1.08627 0.83
47 1.1718 1.61786 0.97
48 1.197 1.43971 1.1
49 1.2222 1.80587 1.27
50 1.2474 2.24354 1.49
51 1.2726 1.76364 1.67
52 1.2978 1.69582 1.85
53 1.323 1.35986 2
54 1.3482 1.2222 2.14
55 1.3734 1.26189 2.29
56 1.3986 0.973462 2.41
57 1.4238 0.861033 2.52
58 1.449 1.51154 2.72
59 1.4742 1.16824 2.88
60 1.4994 1.34105 3.07
61 1.5246 1.22882 3.25
62 1.5498 1.18918 3.43
63 1.575 1.2154 3.62
64 1.6002 0.991514 3.78
65 1.6254 0.900946 3.93
66 1.6506 0.815403 4.07
67 1.6758 1.07359 4.26
68 1.701 1.09686 4.46
69 1.7262 0.95856 4.64
70 1.7514 0.775978 4.79
71 1.7766 1.10604 5.01
72 1.8018 1.36859 5.29
73 1.827 0.903246 5.48
74 1.8522 0.693818 5.63
75 1.8774 1.03549 5.86
76 1.9026 0.657546 6.01
77 1.9278 0.896656 6.22
78 1.953 0.873666 6.43
79 1.9782 0.608249 6.58
80 2.0034 1.10701 6.86
81 2.0286 0.732642 7.05
82 2.0538 1.16621 7.36
83 2.079 0.954543 7.62
84 2.1042 1.29021 7.98
85 2.1294 0.839901 8.22
86 2.1546 1.16219 8.56
87 2.1798 0.968493 8.85
88 2.205 1.07703 9.18
89 2.2302 1.05283 9.51
90 2.2554 1.27899 9.92
91 2.2806 1.22038 10.32
92 2.3058 1.04462 10.67
93 2.331 1.02215 11.02
94 2.3562 1.1719 11.43
95 2.3814 1.00733 11.79
96 2.4066 0.904146 12.12
97 2.4318 1.15384 12.55
98 2.457 1.02515 12.94
99 2.4822 1.03019 13.34
100 2.5074 0.959112 13.72
50200 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0 0
38 0.945 0 0
39 0.9702 0.674294 0.04
40 0.9954 0.320293 0.06
41 1.0206 0.609345 0.1
42 1.0458 1.741 0.22
43 1.071 1.79838 0.35
44 1.0962 1.98075 0.5
45 1.1214 2.14509 0.67
46 1.1466 1.81045 0.82
47 1.1718 2.77347 1.06
48 1.197 1.43971 1.19
49 1.2222 1.80587 1.36
50 1.2474 1.12177 1.47
51 1.2726 1.76364 1.65
52 1.2978 1.03633 1.76
53 1.323 1.72249 1.95
54 1.3482 1.3968 2.11
55 1.3734 1.26189 2.26
56 1.3986 1.05458 2.39
57 1.4238 1.09586 2.53
58 1.449 1.43596 2.72
59 1.4742 1.09523 2.87
60 1.4994 1.05872 3.02
61 1.5246 1.09228 3.18
62 1.5498 1.05705 3.34
63 1.575 0.895559 3.48
64 1.6002 0.929545 3.63
65 1.6254 1.38145 3.86
66 1.6506 1.28135 4.08
67 1.6758 0.960579 4.25
68 1.701 1.09686 4.45
69 1.7262 1.27808 4.69
70 1.7514 0.82771 4.85
71 1.7766 0.804396 5.01
72 1.8018 0.684296 5.15
73 1.827 0.760628 5.31
74 1.8522 0.832581 5.49
75 1.8774 1.26059 5.77
76 1.9026 1.09591 6.02
77 1.9278 0.939354 6.24
78 1.953 1.08168 6.5
79 1.9782 0.648799 6.66
80 2.0034 1.02794 6.92
81 2.0286 0.771202 7.12
82 2.0538 0.865252 7.35
83 2.079 1.32168 7.71
84 2.1042 1.11101 8.02
85 2.1294 1.57481 8.47
86 2.1546 0.922916 8.74
87 2.1798 0.935096 9.02
88 2.205 0.815933 9.27
89 2.2302 1.30806 9.68
90 2.2554 1.12302 10.04
91 2.2806 0.854264 10.32
92 2.3058 0.925232 10.63
93 2.331 1.19738 11.04
94 2.3562 1.00041 11.39
95 2.3814 1.09127 11.78
96 2.4066 0.876748 12.1
97 2.4318 1.15384 12.53
98 2.457 0.998863 12.91
99 2.4822 0.875665 13.25
100 2.5074 1.06007 13.67
50300 100
1 0.0126 0 0
2 0.0378 0 0
3 0.063 0 0
4 0.0882 0 0
5 0.1134 0 0
6 0.1386 0 0
7 0.1638 0 0
8 0.189 0 0
9 0.2142 0 0
10 0.2394 0 0
11 0.2646 0 0
12 0.2898 0 0
13 0.315 0 0
14 0.3402 0 0
15 0.3654 0 0
16 0.3906 0 0
17 0.4158 0 0
18 0.441 0 0
19 0.4662 0 0
20 0.4914 0 0
21 0.5166 0 0
22 0.5418 0 0
23 0.567 0 0
24 0.5922 0 0
25 0.6174 0 0
26 0.6426 0 0
27 0.6678 0 0
28 0.693 0 0
29 0.7182 0 0
30 0.7434 0 0
31 0.7686 0 0
32 0.7938 0 0
33 0.819 0 0
34 0.8442 0 0
35 0.8694 0 0
36 0.8946 0 0
37 0.9198 0 0
38 0.945 0.355367 0.02
39 0.9702 0.674294 0.06
40 0.9954 1.12103 0.13
41 1.0206 1.6757 0.24
42 1.0458 1.16067 0.32
43 1.071 1.79838 0.45
44 1.0962 2.641 0.65
45 1.1214 1.89273 0.8
46 1.1466 1.44836 0.92
47 1.1718 1.73342 1.07
48 1.197 1.21822 1.18
49 1.2222 1.80587 1.35
