# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.49318 2.08594 0.592763
52000 -1.48569 2.08295 0.597254
53000 -1.50051 2.09334 0.592822
54000 -1.49914 2.08951 0.590371
55000 -1.44317 2.04127 0.598101
56000 -1.45249 2.05393 0.601444
57000 -1.46015 2.06101 0.600859
58000 -1.49201 2.08812 0.596109
59000 -1.47137 2.07047 0.5991
60000 -1.49548 2.09495 0.599463
61000 -1.45877 2.05978 0.601014
62000 -1.43361 2.0349 0.60129
63000 -1.3896 1.99492 0.605319
64000 -1.444 2.04626 0.602261
65000 -1.45263 2.05664 0.604013
66000 -1.45904 2.06312 0.604078
67000 -1.39929 2.0034 0.60411
68000 -1.39727 2.00129 0.604024
69000 -1.42571 2.02689 0.601174
70000 -1.41309 2.01557 0.602481
71000 -1.51495 2.10899 0.594036
72000 -1.42098 2.02169 0.600702
73000 -1.46934 2.06584 0.596497
74000 -1.49649 2.08972 0.593238
75000 -1.46637 2.06532 0.598946
76000 -1.49935 2.09324 0.593896
77000 -1.46515 2.06659 0.601437
78000 -1.38833 1.99139 0.603054
79000 -1.43656 2.03438 0.597817
80000 -1.45113 2.04933 0.598195
81000 -1.44992 2.05299 0.603074
82000 -1.46239 2.06247 0.600075
83000 -1.47547 2.07379 0.598319
84000 -1.45932 2.05845 0.599132
85000 -1.41639 2.02004 0.603649
86000 -1.51494 2.11187 0.596928
87000 -1.47963 2.07689 0.597257
88000 -1.41052 2.01324 0.602721
89000 -1.45413 2.05361 0.599481
90000 -1.45802 2.05814 0.600129
91000 -1.45057 2.05192 0.601356
92000 -1.4825 2.08215 0.59965
93000 -1.40292 2.00383 0.600905
94000 -1.35983 1.96506 0.605231
95000 -1.38951 1.99091 0.6014
96000 -1.38441 1.98491 0.600507
97000 -1.37688 1.98206 0.605181
98000 -1.3795 1.9854 0.605896
99000 -1.48536 2.0832 0.597839
100000 -1.48829 2.08492 0.596628
101000 -1.46378 2.0644 0.600617
102000 -1.44899 2.0522 0.603214
103000 -1.44206 2.0449 0.602834
104000 -1.44472 2.0411 0.596373
105000 -1.42286 2.0256 0.602743
106000 -1.39523 1.99977 0.604536
107000 -1.42649 2.02845 0.601967
108000 -1.41839 2.0251 0.606705
109000 -1.45074 2.05204 0.601295
110000 -1.45015 2.04957 0.599411
111000 -1.4152 2.02028 0.605079
112000 -1.4336 2.03628 0.602675
113000 -1.4439 2.04453 0.600629
114000 -1.50843 2.1036 0.595169
115000 -1.39163 1.9939 0.602263
116000 -1.48533 2.08314 0.597815
117000 -1.48285 2.07898 0.596122
118000 -1.50858 2.10075 0.592179
119000 -1.42573 2.02103 0.595293
120000 -1.46922 2.06534 0.596113
121000 -1.49914 2.09584 0.596696
122000 -1.46583 2.06367 0.597842
123000 -1.47377 2.07442 0.600653
124000 -1.42118 2.02382 0.602641
125000 -1.41484 2.01343 0.598588
126000 -1.45616 2.05559 0.599435
127000 -1.47269 2.06874 0.596048
128000 -1.45332 2.05254 0.599223
129000 -1.39539 2.00359 0.608195
130000 -1.39614 2.00328 0.60714
131000 -1.40716 2.00975 0.602593
132000 -1.46483 2.063 0.598167
133000 -1.47497 2.07187 0.596899
134000 -1.41131 2.01173 0.600419
135000 -1.42044 2.02211 0.601675
136000 -1.38836 1.99145 0.603093
137000 -1.37544 1.98284 0.607401
138000 -1.39133 1.99616 0.604833
139000 -1.41341 2.01589 0.602471
140000 -1.39855 2.00007 0.601523
141000 -1.43307 2.03404 0.600975
142000 -1.45458 2.05531 0.600727
143000 -1.43954 2.03995 0.600406
144000 -1.46909 2.06418 0.595089
145000 -1.46813 2.06713 0.599008
146000 -1.47213 2.07169 0.599563
147000 -1.46119 2.06022 0.599031
148000 -1.42059 2.02232 0.601735
149000 -1.38037 1.98674 0.606367
150000 -1.41101 2.01282 0.601809
151000 -1.48012 2.07673 0.59661
152000 -1.46935 2.06346 0.59411
153000 -1.46951 2.06819 0.598682
154000 -1.46064 2.05951 0.598869
155000 -1.43608 2.03856 0.602488
156000 -1.44568 2.04627 0.600594
157000 -1.41514 2.01547 0.60033
158000 -1.37842 1.9835 0.605078
159000 -1.41194 2.01637 0.604427
160000 -1.44315 2.04342 0.600273
161000 -1.4182 2.02096 0.602755
162000 -1.47384 2.07323 0.599395
163000 -1.44442 2.0454 0.600976
164000 -1.44804 2.04992 0.601875
165000 -1.41151 2.01441 0.602899
166000 -1.43139 2.03243 0.601041
167000 -1.48578 2.08358 0.597808
168000 -1.40602 2.00573 0.599713
169000 -1.43719 2.03723 0.600043
170000 -1.4196 2.02333 0.603728
171000 -1.46913 2.06954 0.600405
172000 -1.4763 2.0764 0.600105
173000 -1.44238 2.04509 0.602711
174000 -1.4293 2.03406 0.604758
175000 -1.38248 1.98735 0.604866
176000 -1.44178 2.04409 0.602311
177000 -1.41051 2.01336 0.602846
178000 -1.39283 1.99861 0.60578
179000 -1.46824 2.06742 0.599187
180000 -1.46058 2.06171 0.601129
181000 -1.44083 2.04349 0.602654
182000 -1.44076 2.04078 0.600017
183000 -1.46286 2.06102 0.598166
184000 -1.50249 2.09786 0.595368
185000 -1.48557 2.08344 0.597873
186000 -1.51946 2.1156 0.596138
187000 -1.47981 2.07681 0.596998
188000 -1.48244 2.08104 0.598601
189000 -1.42616 2.02861 0.602441
190000 -1.49156 2.08675 0.595199
191000 -1.53914 2.13169 0.592554
192000 -1.48751 2.08431 0.596798
193000 -1.47748 2.07464 0.597165
194000 -1.44752 2.04684 0.599315
195000 -1.43506 2.03522 0.60016
196000 -1.43679 2.0363 0.599512
197000 -1.43543 2.03868 0.603247
198000 -1.39113 1.99622 0.605088
199000 -1.39284 1.99772 0.604882
200000 -1.40433 2.00645 0.602113
