# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.43573 2.04833 0.612603
52000 -1.4438 2.05686 0.613061
53000 -1.40365 2.01748 0.61383
54000 -1.41597 2.03032 0.614345
55000 -1.45552 2.06883 0.61331
56000 -1.46857 2.08138 0.612817
57000 -1.42411 2.03631 0.612202
58000 -1.42399 2.03736 0.613369
59000 -1.39783 2.01189 0.614061
60000 -1.36457 1.97861 0.614045
61000 -1.40336 2.01713 0.613764
62000 -1.4194 2.03241 0.613009
63000 -1.4865 2.0987 0.6122
64000 -1.45534 2.06746 0.612114
65000 -1.47443 2.08604 0.611615
66000 -1.50419 2.11622 0.61203
67000 -1.4553 2.06701 0.61171
68000 -1.47991 2.09151 0.611597
69000 -1.45471 2.06679 0.612087
70000 -1.48097 2.09347 0.6125
71000 -1.45705 2.07011 0.613053
72000 -1.46489 2.07801 0.613114
73000 -1.45577 2.0675 0.611734
74000 -1.44581 2.05871 0.612903
75000 -1.44927 2.06278 0.613513
76000 -1.48742 2.10033 0.612903
77000 -1.50241 2.11438 0.611962
78000 -1.4969 2.10853 0.611631
79000 -1.49674 2.10853 0.611795
80000 -1.50978 2.12239 0.61261
81000 -1.45222 2.06427 0.612042
82000 -1.49621 2.10769 0.611486
83000 -1.51883 2.12962 0.61079
84000 -1.47824 2.08986 0.611619
85000 -1.51884 2.12949 0.61065
86000 -1.43345 2.04538 0.611928
87000 -1.43186 2.04454 0.612679
88000 -1.46873 2.07903 0.610302
89000 -1.59811 2.2062 0.608086
90000 -1.48155 2.0916 0.610052
91000 -1.47857 2.09104 0.612475
92000 -1.44329 2.05652 0.613229
93000 -1.48416 2.09673 0.612567
94000 -1.48359 2.09606 0.612474
95000 -1.40157 2.01401 0.612443
96000 -1.43701 2.04972 0.612703
97000 -1.39755 2.01067 0.61312
98000 -1.39393 2.00784 0.613913
99000 -1.41752 2.03129 0.613772
100000 -1.48943 2.10231 0.612882
101000 -1.40939 2.02202 0.612627
102000 -1.43684 2.04906 0.612222
103000 -1.43531 2.04769 0.612381
104000 -1.47975 2.09188 0.612132
105000 -1.4752 2.08674 0.611541
106000 -1.45393 2.06578 0.611844
107000 -1.44313 2.05632 0.613187
108000 -1.45622 2.06907 0.612854
109000 -1.49078 2.10347 0.612689
110000 -1.42662 2.03929 0.612665
111000 -1.41818 2.03106 0.61288
112000 -1.43994 2.05237 0.612434
113000 -1.40522 2.0192 0.613987
114000 -1.42374 2.03727 0.613525
115000 -1.49112 2.10366 0.612541
116000 -1.43689 2.04957 0.612682
117000 -1.46179 2.07359 0.611805
118000 -1.53426 2.14556 0.611292
119000 -1.44274 2.05335 0.610613
120000 -1.451 2.06174 0.61074
121000 -1.49549 2.10692 0.611433
122000 -1.51117 2.12227 0.611102
123000 -1.56156 2.17211 0.610556
124000 -1.56512 2.17558 0.610458
125000 -1.47704 2.08863 0.611589
126000 -1.45069 2.0628 0.612107
127000 -1.48 2.09199 0.611986
128000 -1.52071 2.1323 0.611584
129000 -1.45756 2.06922 0.611666
130000 -1.43624 2.04879 0.612545
131000 -1.49185 2.10312 0.611272
132000 -1.50788 2.11824 0.610364
133000 -1.48843 2.09911 0.610682
134000 -1.5358 2.14629 0.610493
135000 -1.47344 2.08504 0.611608
136000 -1.56418 2.17571 0.61153
137000 -1.52007 2.13093 0.610855
138000 -1.51831 2.1297 0.611392
139000 -1.54265 2.15419 0.611533
140000 -1.57146 2.18213 0.610671
141000 -1.51573 2.12593 0.610195
142000 -1.51371 2.12342 0.609711
143000 -1.5068 2.11788 0.611081
144000 -1.52004 2.13082 0.610784
145000 -1.54178 2.15229 0.610509
146000 -1.46348 2.07555 0.61207
147000 -1.39442 2.00681 0.612395
148000 -1.44077 2.0541 0.613329
149000 -1.50176 2.11523 0.61347
150000 -1.37641 1.98972 0.613313
151000 -1.3779 1.99084 0.612946
152000 -1.49224 2.10495 0.612715
153000 -1.45769 2.07082 0.613127
154000 -1.45803 2.07074 0.612716
155000 -1.49239 2.10471 0.612324
156000 -1.45226 2.06489 0.612625
157000 -1.48533 2.09811 0.61278
158000 -1.47059 2.08344 0.612857
159000 -1.40958 2.02301 0.613431
160000 -1.44389 2.05655 0.61266
161000 -1.5187 2.13078 0.612076
162000 -1.4803 2.0933 0.613003
163000 -1.43958 2.05337 0.613786
164000 -1.44675 2.06075 0.614003
165000 -1.42437 2.03716 0.612788
166000 -1.43747 2.05056 0.613086
167000 -1.48872 2.1015 0.612773
168000 -1.432 2.0456 0.613604
169000 -1.38485 1.99803 0.613187
170000 -1.4114 2.02419 0.612782
171000 -1.41274 2.02577 0.613039
172000 -1.41694 2.03031 0.613376
173000 -1.42699 2.04004 0.613048
174000 -1.44603 2.05809 0.612057
175000 -1.43379 2.0463 0.612502
176000 -1.42274 2.03509 0.612342
