# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.26276 1.61755 0.35479
52000 -1.24632 1.61203 0.365708
53000 -1.27814 1.62148 0.343344
54000 -1.22776 1.60498 0.377222
55000 -1.25009 1.61631 0.366214
56000 -1.22246 1.59974 0.37728
57000 -1.22144 1.60138 0.379936
58000 -1.2831 1.61978 0.336675
59000 -1.32082 1.63436 0.313549
60000 -1.28651 1.62706 0.340553
61000 -1.29688 1.62179 0.32491
62000 -1.26866 1.61629 0.347629
63000 -1.20867 1.60237 0.393697
64000 -1.22439 1.60248 0.378088
65000 -1.1933 1.59048 0.397181
66000 -1.26717 1.61857 0.3514
67000 -1.25458 1.60696 0.352375
68000 -1.26443 1.61171 0.347283
69000 -1.29572 1.62615 0.330432
70000 -1.24243 1.60589 0.363464
71000 -1.27337 1.61782 0.344455
72000 -1.24507 1.60577 0.360697
73000 -1.23829 1.60192 0.363635
74000 -1.22014 1.60443 0.384289
75000 -1.23768 1.60976 0.372086
76000 -1.251 1.61193 0.360925
77000 -1.25557 1.61019 0.354622
78000 -1.24788 1.61477 0.366892
79000 -1.25211 1.6097 0.357591
80000 -1.24814 1.60019 0.35205
81000 -1.26985 1.61467 0.344822
82000 -1.26853 1.62198 0.35345
83000 -1.30778 1.62643 0.318648
84000 -1.27687 1.61826 0.341398
85000 -1.25854 1.61109 0.352547
86000 -1.2662 1.6103 0.344093
87000 -1.23972 1.60731 0.367583
88000 -1.25195 1.60563 0.353682
89000 -1.27132 1.62099 0.349674
90000 -1.3184 1.62575 0.307359
91000 -1.28813 1.62038 0.332253
92000 -1.27915 1.62537 0.346217
93000 -1.26587 1.61116 0.345286
94000 -1.26508 1.61451 0.349428
95000 -1.24831 1.6093 0.360988
96000 -1.24692 1.61226 0.365341
97000 -1.31154 1.62392 0.312382
98000 -1.30121 1.62528 0.324063
99000 -1.27577 1.61411 0.338335
100000 -1.27122 1.6159 0.344681
101000 -1.25352 1.61446 0.360939
102000 -1.28748 1.61914 0.331662
103000 -1.30477 1.63124 0.326467
104000 -1.26105 1.61467 0.35362
105000 -1.26564 1.61434 0.3487
106000 -1.24131 1.60494 0.363628
107000 -1.23674 1.605 0.368266
108000 -1.20214 1.59373 0.391586
109000 -1.24899 1.61075 0.361761
110000 -1.28337 1.61392 0.330555
