# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.40463 2.0058 0.601169
52000 -1.37926 1.98112 0.601865
53000 -1.42401 2.02034 0.596329
54000 -1.38601 1.98472 0.598709
55000 -1.38591 1.98482 0.598911
56000 -1.37775 1.97865 0.600901
57000 -1.41946 2.01468 0.595215
58000 -1.40069 2.00239 0.601691
59000 -1.45975 2.05583 0.596085
60000 -1.51912 2.10545 0.586333
61000 -1.46975 2.06055 0.590791
62000 -1.42749 2.02266 0.595164
63000 -1.43717 2.03143 0.594261
64000 -1.45213 2.04651 0.594382
65000 -1.41047 2.00729 0.596822
66000 -1.36724 1.96875 0.601515
67000 -1.3707 1.96716 0.596462
68000 -1.40888 2.00394 0.595058
69000 -1.48946 2.08072 0.591264
70000 -1.50428 2.08785 0.583578
71000 -1.48039 2.06552 0.585122
72000 -1.41502 2.01132 0.596292
73000 -1.39742 1.9959 0.598479
74000 -1.38666 1.98531 0.598656
75000 -1.39748 1.99628 0.5988
76000 -1.38051 1.98283 0.602322
77000 -1.39688 1.99471 0.597837
78000 -1.40817 2.00628 0.598105
79000 -1.37878 1.97921 0.600424
80000 -1.37857 1.97573 0.597151
81000 -1.40352 2.00269 0.599167
82000 -1.40673 2.00607 0.599347
83000 -1.40327 2.00029 0.59702
84000 -1.4627 2.05647 0.593776
85000 -1.43236 2.0295 0.597146
86000 -1.39646 1.9977 0.601245
87000 -1.35561 1.96024 0.604633
88000 -1.3948 1.9911 0.596302
89000 -1.45827 2.05121 0.592945
90000 -1.41663 2.01443 0.597794
91000 -1.41262 2.00906 0.596433
92000 -1.41608 2.00997 0.593897
93000 -1.4344 2.02552 0.591122
94000 -1.3983 1.99546 0.597162
95000 -1.4389 2.03087 0.591969
96000 -1.39972 1.99609 0.59637
97000 -1.43496 2.03222 0.59726
98000 -1.3845 1.98864 0.604145
99000 -1.40722 2.00474 0.597515
100000 -1.43822 2.03117 0.592946
101000 -1.40121 2.00059 0.599382
102000 -1.35303 1.95719 0.604162
103000 -1.35631 1.96087 0.604559
104000 -1.41461 2.01324 0.598626
105000 -1.44057 2.03659 0.596026
106000 -1.46016 2.05207 0.591909
107000 -1.4166 2.01329 0.596687
108000 -1.4696 2.05919 0.589591
109000 -1.48906 2.07547 0.586417
110000 -1.50342 2.08748 0.584067
111000 -1.47315 2.05806 0.584913
112000 -1.53015 2.11152 0.581372
113000 -1.47845 2.06539 0.58694
114000 -1.44186 2.03635 0.594485
115000 -1.49603 2.08614 0.590113
116000 -1.51213 2.09494 0.582805
117000 -1.50584 2.09121 0.585374
118000 -1.52113 2.10516 0.584026
119000 -1.47937 2.06946 0.59009
120000 -1.46612 2.05375 0.587629
121000 -1.45494 2.04522 0.590287
122000 -1.48625 2.07571 0.58946
123000 -1.50409 2.09054 0.586451
124000 -1.47183 2.05889 0.587062
125000 -1.43232 2.02319 0.590873
126000 -1.35378 1.95443 0.600649
127000 -1.38755 1.98825 0.600707
128000 -1.39253 1.99535 0.602822
129000 -1.4096 2.00395 0.594351
130000 -1.43102 2.02418 0.593158
131000 -1.45263 2.04675 0.594112
132000 -1.46303 2.0593 0.596279
133000 -1.39369 1.99249 0.598795
134000 -1.38691 1.98846 0.60155
135000 -1.38434 1.98333 0.598988
136000 -1.4148 2.01857 0.603768
137000 -1.40526 2.00175 0.596485
138000 -1.42842 2.02515 0.596725
139000 -1.42976 2.02394 0.594176
140000 -1.43404 2.02227 0.58823
141000 -1.35292 1.95311 0.600188
142000 -1.45571 2.05137 0.595659
143000 -1.4314 2.02831 0.59691
144000 -1.48538 2.07916 0.593788
145000 -1.41517 2.01024 0.595065
146000 -1.45024 2.03846 0.588227
147000 -1.50461 2.09248 0.587878
148000 -1.46923 2.05948 0.590251
149000 -1.47997 2.06744 0.587477
150000 -1.4258 2.01548 0.589683
151000 -1.42112 2.0204 0.599287
152000 -1.45435 2.05012 0.595764
153000 -1.41866 2.01601 0.597355
154000 -1.43676 2.03087 0.594113
155000 -1.48003 2.07299 0.59296
156000 -1.47569 2.06337 0.587682
157000 -1.39002 1.99038 0.600368
158000 -1.44038 2.03172 0.591334
159000 -1.41581 2.01537 0.599565
160000 -1.43292 2.03005 0.597132
161000 -1.42009 2.01997 0.599883
162000 -1.41969 2.01616 0.596467
163000 -1.46438 2.06242 0.598034
164000 -1.40529 1.9999 0.594616
165000 -1.42142 2.0192 0.597782
166000 -1.36092 1.9659 0.604984
167000 -1.40203 2.0015 0.599473
168000 -1.47476 2.06391 0.589154
169000 -1.47999 2.06789 0.587904
170000 -1.50612 2.09408 0.58796
171000 -1.43515 2.02873 0.593581
172000 -1.48201 2.07143 0.589417
173000 -1.40992 2.00523 0.595309
174000 -1.387 1.98925 0.602247
175000 -1.39149 1.99011 0.598622
176000 -1.37029 1.97155 0.601256
177000 -1.41458 2.01082 0.59624
178000 -1.45721 2.0509 0.59369
179000 -1.39927 2.00042 0.60115
180000 -1.40881 2.00674 0.59793
181000 -1.52941 2.1163 0.586885
182000 -1.48888 2.07926 0.590383
183000 -1.46669 2.05855 0.591859
184000 -1.47257 2.06274 0.590168
185000 -1.37373 1.96817 0.59444
186000 -1.47334 2.06139 0.588043
187000 -1.45734 2.05108 0.593736
188000 -1.45752 2.04988 0.592356
189000 -1.41656 2.01127 0.594708
190000 -1.41551 2.01102 0.595509
191000 -1.38233 1.98299 0.60066
192000 -1.4538 2.04789 0.594091
193000 -1.49997 2.08914 0.589168
194000 -1.46157 2.05382 0.592247
195000 -1.41476 2.01225 0.597496
196000 -1.4569 2.04809 0.59119
197000 -1.44847 2.04351 0.595044
198000 -1.44604 2.03998 0.593931
199000 -1.43762 2.03379 0.59617
200000 -1.43834 2.0348 0.596456
