# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.40905 2.0154 0.606351
52000 -1.42553 2.03267 0.607143
53000 -1.47418 2.07779 0.603613
54000 -1.45495 2.05789 0.602946
55000 -1.41632 2.02232 0.606001
56000 -1.40774 2.01376 0.606025
57000 -1.49115 2.09323 0.602082
58000 -1.51987 2.12088 0.601018
59000 -1.48124 2.08527 0.60403
60000 -1.47225 2.07575 0.603495
61000 -1.41362 2.01856 0.604938
62000 -1.44055 2.04691 0.606362
63000 -1.39264 2.00165 0.609009
64000 -1.37415 1.98405 0.609905
65000 -1.39745 2.00348 0.606024
66000 -1.44482 2.0494 0.604578
67000 -1.35868 1.96821 0.609536
68000 -1.37542 1.98391 0.608496
69000 -1.44019 2.04451 0.604324
70000 -1.42764 2.02862 0.600988
71000 -1.46423 2.06681 0.602585
72000 -1.50704 2.10891 0.601868
73000 -1.45515 2.05772 0.602566
74000 -1.42924 2.03246 0.603221
75000 -1.4837 2.08901 0.605312
76000 -1.47443 2.07913 0.604702
77000 -1.47591 2.07795 0.602031
78000 -1.4796 2.08147 0.601871
79000 -1.45064 2.05454 0.603897
80000 -1.43976 2.04688 0.607117
81000 -1.42805 2.03603 0.607979
82000 -1.39289 2.00144 0.608551
83000 -1.38866 1.99708 0.608422
84000 -1.42424 2.03032 0.606078
85000 -1.4467 2.04899 0.602289
86000 -1.43342 2.03736 0.603944
87000 -1.4671 2.07191 0.604811
88000 -1.44563 2.05113 0.605495
89000 -1.45823 2.06333 0.605102
90000 -1.4665 2.06803 0.601524
91000 -1.50516 2.1086 0.603441
92000 -1.48082 2.08369 0.602869
93000 -1.50137 2.10277 0.601405
94000 -1.4924 2.0957 0.603296
95000 -1.46803 2.06979 0.60176
96000 -1.43943 2.04314 0.603713
97000 -1.44662 2.04951 0.602899
98000 -1.48254 2.08411 0.60157
99000 -1.49565 2.09739 0.601737
100000 -1.44143 2.04407 0.602644
101000 -1.46742 2.06849 0.601064
102000 -1.44888 2.05324 0.604356
103000 -1.48166 2.08383 0.602173
104000 -1.48429 2.08545 0.601155
105000 -1.43401 2.03934 0.605326
106000 -1.39826 2.0067 0.608444
107000 -1.39519 2.00479 0.609598
108000 -1.37472 1.98372 0.609006
109000 -1.38791 1.99504 0.607128
110000 -1.45758 2.06107 0.603494
111000 -1.44834 2.05369 0.605346
112000 -1.46782 2.07368 0.605856
113000 -1.46623 2.06936 0.603132
114000 -1.51135 2.1086 0.597248
115000 -1.51839 2.1185 0.600109
116000 -1.49321 2.09738 0.60417
117000 -1.41791 2.02477 0.606852
118000 -1.46269 2.06811 0.605421
119000 -1.46312 2.06758 0.604457
120000 -1.41559 2.02227 0.606684
121000 -1.40648 2.01125 0.604777
122000 -1.41667 2.0218 0.605128
123000 -1.42015 2.02546 0.605313
124000 -1.42032 2.02782 0.607503
125000 -1.37835 1.98628 0.607922
126000 -1.36995 1.97851 0.608565
127000 -1.38272 1.99141 0.608695
128000 -1.38031 1.98819 0.607888
129000 -1.40818 2.01524 0.607058
130000 -1.45396 2.05714 0.603185
131000 -1.42504 2.03069 0.605649
132000 -1.43299 2.03969 0.606702
133000 -1.40945 2.01852 0.609075
134000 -1.48216 2.08674 0.604581
135000 -1.4607 2.06552 0.60482
136000 -1.4247 2.02988 0.605177
137000 -1.48719 2.09291 0.605725
138000 -1.45129 2.05681 0.605513
139000 -1.51168 2.11216 0.600482
140000 -1.45903 2.06174 0.60271
141000 -1.44744 2.05196 0.604513
142000 -1.4552 2.05936 0.604165
143000 -1.46227 2.06615 0.603878
144000 -1.36867 1.97636 0.60769
145000 -1.42766 2.03559 0.607934
146000 -1.4126 2.02053 0.607932
147000 -1.46807 2.07081 0.602747
148000 -1.46148 2.06486 0.603378
149000 -1.46549 2.06912 0.603631
150000 -1.40934 2.01418 0.604845
151000 -1.4384 2.04572 0.607324
152000 -1.44274 2.04763 0.604891
153000 -1.41225 2.01969 0.607437
154000 -1.43566 2.04492 0.609259
155000 -1.43613 2.04197 0.605832
156000 -1.5115 2.11177 0.600265
157000 -1.5708 2.16987 0.599061
158000 -1.49593 2.09791 0.60198
159000 -1.37194 1.98092 0.608979
160000 -1.42819 2.03627 0.608076
161000 -1.46443 2.0686 0.604165
162000 -1.49188 2.09246 0.600578
163000 -1.49737 2.09612 0.598748
164000 -1.45657 2.06183 0.605264
165000 -1.4419 2.04754 0.605637
166000 -1.43014 2.03501 0.604873
167000 -1.4317 2.03719 0.605486
168000 -1.40225 2.00885 0.606605
169000 -1.4333 2.03874 0.605436
170000 -1.43156 2.03721 0.605653
171000 -1.41992 2.02664 0.606721
172000 -1.46659 2.07128 0.604697
173000 -1.50962 2.10906 0.599433
174000 -1.5431 2.14176 0.598664
175000 -1.46591 2.06943 0.603521
176000 -1.46513 2.06813 0.602999
177000 -1.46131 2.06777 0.606465
178000 -1.4714 2.07652 0.605118
179000 -1.41427 2.02167 0.607405
180000 -1.41483 2.02196 0.607132
181000 -1.33155 1.9397 0.608148
182000 -1.43663 2.04151 0.604882
183000 -1.41261 2.01848 0.605875
184000 -1.39834 2.00612 0.607786
185000 -1.43049 2.03904 0.608549
186000 -1.44501 2.05202 0.607006
187000 -1.41364 2.02157 0.607936
188000 -1.40584 2.01404 0.6082
189000 -1.40581 2.01494 0.609131
190000 -1.48641 2.08751 0.601099
191000 -1.40571 2.01329 0.607572
192000 -1.46495 2.06845 0.603502
193000 -1.39384 1.99762 0.603781
194000 -1.4002 2.00646 0.606261
195000 -1.39322 2.00055 0.607334
196000 -1.38844 1.99484 0.606402
197000 -1.39196 1.99986 0.607898
198000 -1.4442 2.05042 0.606216
199000 -1.48028 2.08432 0.604035
200000 -1.52927 2.13383 0.604565
