# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.48734 2.09755 0.610212
52000 -1.48616 2.09704 0.610886
53000 -1.4278 2.03877 0.610962
54000 -1.46147 2.07244 0.610973
55000 -1.47043 2.08159 0.611168
56000 -1.45953 2.06959 0.61006
57000 -1.49871 2.10817 0.609461
58000 -1.45799 2.06662 0.608636
59000 -1.43767 2.04746 0.609786
60000 -1.41641 2.02746 0.611052
61000 -1.42078 2.03118 0.610402
62000 -1.45178 2.06006 0.608279
63000 -1.44844 2.05828 0.609842
64000 -1.4524 2.06183 0.609424
65000 -1.46475 2.07307 0.608318
66000 -1.45733 2.06721 0.609878
67000 -1.44129 2.05288 0.611592
68000 -1.45002 2.06021 0.61019
69000 -1.45159 2.06258 0.610994
70000 -1.5134 2.12181 0.60841
71000 -1.51972 2.12725 0.607534
72000 -1.55372 2.16064 0.60692
73000 -1.53623 2.14331 0.607086
74000 -1.50516 2.11192 0.606764
75000 -1.50214 2.10917 0.607029
76000 -1.53538 2.14246 0.607072
77000 -1.50337 2.11016 0.606791
78000 -1.58873 2.19452 0.605786
79000 -1.49887 2.1083 0.609437
80000 -1.51505 2.1243 0.609253
81000 -1.52642 2.13416 0.607736
82000 -1.43697 2.04663 0.609661
83000 -1.37497 1.98613 0.611158
84000 -1.47481 2.0847 0.609892
85000 -1.43882 2.05098 0.61216
86000 -1.40545 2.01653 0.611085
87000 -1.44464 2.05431 0.609674
88000 -1.50386 2.1136 0.609737
89000 -1.407 2.01854 0.611537
90000 -1.36638 1.9784 0.612024
91000 -1.37945 1.99172 0.612279
92000 -1.41369 2.02511 0.611411
93000 -1.49281 2.10449 0.611683
94000 -1.45678 2.06854 0.611768
95000 -1.47328 2.08288 0.609599
96000 -1.47084 2.08117 0.610331
97000 -1.49091 2.09986 0.608947
98000 -1.42345 2.03459 0.611143
99000 -1.47461 2.08392 0.609305
100000 -1.42178 2.03219 0.610412
101000 -1.42462 2.03618 0.611556
102000 -1.42949 2.04226 0.612763
103000 -1.43697 2.04892 0.611946
104000 -1.41681 2.0284 0.611589
105000 -1.43907 2.05035 0.611281
106000 -1.39613 2.00749 0.611356
107000 -1.40061 2.01269 0.612072
108000 -1.44183 2.05316 0.611337
109000 -1.43827 2.05008 0.611814
110000 -1.43701 2.04672 0.609711
111000 -1.50687 2.11604 0.609162
112000 -1.4758 2.08647 0.610669
113000 -1.43218 2.04404 0.611861
114000 -1.4537 2.06438 0.61068
115000 -1.51489 2.12264 0.607745
116000 -1.51901 2.12698 0.607968
117000 -1.49218 2.10119 0.609013
118000 -1.43944 2.04908 0.60964
119000 -1.51658 2.12544 0.608863
120000 -1.52665 2.13342 0.606779
121000 -1.50071 2.10852 0.607815
122000 -1.51134 2.12059 0.609256
123000 -1.45349 2.06428 0.61079
124000 -1.41844 2.03029 0.611855
125000 -1.42139 2.03299 0.611593
126000 -1.38851 2.00108 0.612569
127000 -1.4438 2.05527 0.611465
128000 -1.47863 2.08567 0.607048
129000 -1.54688 2.15359 0.606708
130000 -1.50544 2.11498 0.60954
131000 -1.50799 2.11755 0.60956
132000 -1.4687 2.07732 0.608617
133000 -1.47015 2.07983 0.609684
134000 -1.48404 2.09394 0.609896
135000 -1.40581 2.01893 0.613122
136000 -1.4604 2.07156 0.611163
137000 -1.50164 2.11031 0.608675
138000 -1.49578 2.10338 0.607594
139000 -1.52956 2.13593 0.606369
140000 -1.54691 2.15359 0.60668
141000 -1.52702 2.13427 0.607248
142000 -1.55769 2.16448 0.606782
