# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.11409 1.43508 0.320989
52000 -1.11763 1.43203 0.314397
53000 -1.13168 1.43469 0.303011
54000 -1.12412 1.42753 0.303416
55000 -1.12934 1.43486 0.305522
56000 -1.11543 1.42664 0.31121
57000 -1.11926 1.43846 0.319201
58000 -1.12039 1.44349 0.323096
59000 -1.10513 1.43962 0.334488
60000 -1.12354 1.43363 0.310094
61000 -1.12004 1.43454 0.314497
62000 -1.12209 1.43058 0.308485
63000 -1.12375 1.42593 0.302184
64000 -1.12916 1.42814 0.298984
65000 -1.12169 1.43598 0.314293
66000 -1.13498 1.41908 0.284098
67000 -1.12142 1.4377 0.316287
68000 -1.11978 1.43266 0.312887
69000 -1.12698 1.42617 0.299191
70000 -1.13363 1.42733 0.293707
71000 -1.12467 1.43489 0.310217
72000 -1.12921 1.42455 0.295334
73000 -1.12238 1.43281 0.310429
74000 -1.10986 1.43638 0.326523
75000 -1.13523 1.42996 0.294739
76000 -1.11419 1.43443 0.320237
77000 -1.10719 1.43353 0.326339
78000 -1.12194 1.43568 0.313737
79000 -1.11625 1.43778 0.321528
80000 -1.1277 1.43265 0.304948
81000 -1.11732 1.43046 0.313146
82000 -1.13671 1.42915 0.292443
83000 -1.11644 1.43278 0.316342
84000 -1.14599 1.43434 0.288351
85000 -1.12782 1.43128 0.303457
86000 -1.12671 1.43537 0.308665
87000 -1.12436 1.42003 0.295666
88000 -1.1049 1.44015 0.335249
89000 -1.12476 1.43191 0.307148
90000 -1.10846 1.43251 0.324055
91000 -1.12247 1.43693 0.314458
92000 -1.11356 1.43382 0.320258
93000 -1.12921 1.43667 0.307462
94000 -1.12617 1.43474 0.308567
95000 -1.12093 1.4388 0.31787
96000 -1.1172 1.43337 0.316167
97000 -1.11025 1.43571 0.325463
98000 -1.12291 1.42729 0.304379
99000 -1.11954 1.43673 0.317183
100000 -1.11638 1.43517 0.318786
101000 -1.11079 1.44099 0.330195
102000 -1.11921 1.42821 0.308995
103000 -1.10915 1.43503 0.325886
104000 -1.14107 1.43656 0.295486
105000 -1.13224 1.43093 0.298684
106000 -1.1298 1.43158 0.301777
107000 -1.11841 1.43189 0.313486
108000 -1.12103 1.43222 0.311191
109000 -1.11284 1.43763 0.324796
110000 -1.11443 1.44002 0.325598
111000 -1.11811 1.43881 0.320703
112000 -1.11983 1.44042 0.320597
113000 -1.12824 1.43663 0.30839
114000 -1.11504 1.42813 0.313093
115000 -1.11296 1.43154 0.31858
116000 -1.10789 1.44556 0.337669
117000 -1.11919 1.42596 0.306771
118000 -1.11859 1.43715 0.31856
119000 -1.11921 1.43578 0.316568
120000 -1.11878 1.44176 0.322979
121000 -1.13202 1.4361 0.304083
122000 -1.12143 1.42561 0.304185
123000 -1.12147 1.43395 0.312478
124000 -1.12504 1.43502 0.309982
125000 -1.11695 1.43412 0.317173
126000 -1.12022 1.43818 0.317961
127000 -1.10729 1.43984 0.332548
128000 -1.11636 1.43412 0.317756
129000 -1.12071 1.43286 0.31215
130000 -1.1111 1.43405 0.322947
131000 -1.11931 1.42476 0.305454
132000 -1.11784 1.42512 0.307271
133000 -1.12374 1.44191 0.318169
134000 -1.11917 1.43193 0.312761
135000 -1.13634 1.42781 0.291465
136000 -1.11231 1.43578 0.323465
137000 -1.12405 1.43132 0.307265
138000 -1.1189 1.43748 0.318573
139000 -1.11493 1.4344 0.319473
140000 -1.11917 1.43584 0.316679
141000 -1.10763 1.43871 0.331077
142000 -1.12794 1.43373 0.305782
143000 -1.13535 1.43183 0.296476
144000 -1.12606 1.42495 0.298888
145000 -1.1099 1.43758 0.327688
146000 -1.12523 1.43722 0.311994
147000 -1.13428 1.43227 0.297988
148000 -1.12688 1.43575 0.308871
149000 -1.11393 1.434 0.320062
150000 -1.1255 1.42815 0.302648
151000 -1.12444 1.42577 0.301334
152000 -1.11652 1.43854 0.322022
153000 -1.11668 1.434 0.317317
154000 -1.11553 1.42575 0.310217
155000 -1.12 1.42601 0.306013
156000 -1.11793 1.43765 0.319722
157000 -1.11931 1.43553 0.316221
158000 -1.12506 1.43009 0.305028
159000 -1.11884 1.43557 0.31673
160000 -1.12531 1.43094 0.305629
161000 -1.12836 1.43009 0.301726
162000 -1.11672 1.43655 0.319826
163000 -1.12076 1.4325 0.311734
164000 -1.12508 1.43131 0.306234
165000 -1.11871 1.43594 0.31723
166000 -1.1325 1.43153 0.29903
167000 -1.12364 1.43417 0.310524
