# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.44793 2.06177 0.613836
52000 -1.48594 2.09997 0.614036
53000 -1.40963 2.02396 0.614332
54000 -1.38919 2.00355 0.614357
55000 -1.423 2.03735 0.614343
56000 -1.50266 2.11696 0.614296
57000 -1.45703 2.07068 0.613651
58000 -1.52165 2.13505 0.613396
59000 -1.48584 2.09959 0.613751
60000 -1.42305 2.03717 0.614117
61000 -1.47163 2.08605 0.614426
62000 -1.42223 2.03658 0.61435
63000 -1.46516 2.07971 0.614544
64000 -1.42945 2.04369 0.614248
65000 -1.49235 2.10599 0.613631
66000 -1.46536 2.07892 0.613569
67000 -1.45338 2.0673 0.613916
68000 -1.42882 2.04279 0.613964
69000 -1.49681 2.11075 0.613941
70000 -1.52147 2.1353 0.613835
71000 -1.59044 2.20439 0.613951
72000 -1.51875 2.13246 0.613705
73000 -1.51412 2.12837 0.614251
74000 -1.48769 2.10155 0.613859
75000 -1.45259 2.06616 0.613575
76000 -1.52084 2.13452 0.613678
77000 -1.57312 2.18602 0.612903
78000 -1.54069 2.15404 0.613353
79000 -1.54176 2.15568 0.613915
80000 -1.54584 2.15963 0.613784
81000 -1.52407 2.13789 0.613819
82000 -1.5365 2.15036 0.613863
83000 -1.50841 2.12208 0.613662
84000 -1.51415 2.12794 0.613796
85000 -1.51545 2.12948 0.614026
86000 -1.49519 2.10867 0.613483
87000 -1.50353 2.11683 0.6133
88000 -1.44888 2.06241 0.613529
89000 -1.53119 2.14479 0.613604
90000 -1.48738 2.10122 0.613839
91000 -1.49558 2.10974 0.61416
92000 -1.46183 2.07614 0.614309
93000 -1.44172 2.05594 0.61422
94000 -1.42771 2.04178 0.61407
95000 -1.46975 2.08382 0.614066
96000 -1.42772 2.04181 0.614086
97000 -1.40555 2.01967 0.614113
98000 -1.44935 2.06373 0.614381
99000 -1.44839 2.06277 0.614385
100000 -1.4719 2.08606 0.61416
101000 -1.49033 2.10435 0.614018
102000 -1.50792 2.12163 0.61371
