# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.39128 1.85726 0.465982
52000 -1.37566 1.86217 0.486506
53000 -1.34152 1.84152 0.500003
54000 -1.36426 1.85083 0.486571
55000 -1.37982 1.85666 0.476848
56000 -1.34725 1.84338 0.496136
57000 -1.31815 1.82268 0.504528
58000 -1.35792 1.85494 0.497023
59000 -1.32132 1.83185 0.510527
60000 -1.34722 1.83798 0.490756
61000 -1.31483 1.82159 0.506761
62000 -1.38658 1.86028 0.473699
63000 -1.35196 1.84616 0.4942
64000 -1.35671 1.84578 0.489071
65000 -1.33984 1.83822 0.498384
66000 -1.37885 1.86036 0.48151
67000 -1.35999 1.8529 0.492909
68000 -1.42889 1.88628 0.457393
69000 -1.39181 1.87394 0.482126
70000 -1.31406 1.81527 0.501214
71000 -1.33325 1.8242 0.490958
72000 -1.36974 1.85611 0.48637
73000 -1.38599 1.86222 0.476227
74000 -1.37582 1.85655 0.480732
75000 -1.37822 1.85536 0.477142
76000 -1.38599 1.86075 0.474754
77000 -1.37205 1.84884 0.476795
78000 -1.3309 1.82852 0.49762
79000 -1.36319 1.85052 0.487335
80000 -1.32442 1.82247 0.498047
81000 -1.38913 1.86201 0.472885
82000 -1.34457 1.84266 0.498093
83000 -1.37084 1.85306 0.482219
84000 -1.33447 1.82641 0.491934
85000 -1.38492 1.85904 0.474113
86000 -1.40115 1.87143 0.470282
87000 -1.41427 1.88287 0.468601
88000 -1.34669 1.84737 0.500686
89000 -1.33427 1.83319 0.498914
90000 -1.26575 1.7944 0.528648
91000 -1.32079 1.82558 0.504788
92000 -1.37781 1.85777 0.479957
93000 -1.33589 1.83606 0.500171
94000 -1.3686 1.85503 0.486426
95000 -1.3344 1.83511 0.500713
96000 -1.33322 1.83025 0.497031
97000 -1.28992 1.80364 0.513718
98000 -1.3474 1.8401 0.492704
99000 -1.42464 1.88454 0.459898
100000 -1.35998 1.84342 0.483443
101000 -1.38543 1.85845 0.473024
102000 -1.29673 1.81138 0.514652
103000 -1.30825 1.81324 0.504993
104000 -1.33156 1.83563 0.504074
105000 -1.37078 1.85047 0.479696
106000 -1.35073 1.84075 0.490024
107000 -1.31902 1.82665 0.507631
108000 -1.35997 1.8564 0.496429
109000 -1.37689 1.85501 0.478122
110000 -1.34704 1.83658 0.489545
111000 -1.30608 1.81547 0.509384
112000 -1.33717 1.84366 0.50649
113000 -1.34974 1.84072 0.490983
114000 -1.35471 1.85037 0.495664
115000 -1.35502 1.84149 0.486473
116000 -1.34737 1.84238 0.495014
117000 -1.27026 1.79954 0.529271
118000 -1.33251 1.83097 0.498457
119000 -1.3639 1.84606 0.482151
120000 -1.31723 1.82308 0.505853
121000 -1.29577 1.80594 0.510166
122000 -1.30003 1.80823 0.508209
123000 -1.31366 1.81702 0.503356
124000 -1.36745 1.85152 0.484073
125000 -1.35579 1.8476 0.491805
126000 -1.33568 1.83927 0.503599
127000 -1.31378 1.81747 0.503685
128000 -1.31169 1.81983 0.508132
129000 -1.36824 1.84954 0.481305
130000 -1.31492 1.81751 0.502592
131000 -1.33484 1.83238 0.497538
132000 -1.37407 1.85427 0.480193
133000 -1.29179 1.80305 0.51126
134000 -1.32996 1.82633 0.496376
135000 -1.39777 1.87237 0.474591
136000 -1.35157 1.84387 0.492297
137000 -1.3252 1.82928 0.504076
138000 -1.35927 1.84809 0.48882
139000 -1.3283 1.82813 0.499835
140000 -1.33534 1.8339 0.498558
141000 -1.37245 1.84583 0.473381
142000 -1.36002 1.84482 0.484794
143000 -1.3721 1.85999 0.48789
144000 -1.40492 1.87115 0.466231
145000 -1.35186 1.8382 0.486346
146000 -1.38221 1.85977 0.477559
147000 -1.36665 1.85331 0.486669
148000 -1.3979 1.87178 0.473873
149000 -1.32145 1.82738 0.505927
150000 -1.31085 1.81781 0.506965
151000 -1.34282 1.83298 0.49016
152000 -1.35568 1.84524 0.48956
153000 -1.34538 1.83944 0.494055
154000 -1.38499 1.86416 0.479176
155000 -1.31794 1.82152 0.503588
156000 -1.31079 1.81885 0.508068
157000 -1.32559 1.83045 0.504861
158000 -1.3774 1.85588 0.478475
159000 -1.36795 1.85238 0.484425
160000 -1.30291 1.8217 0.518787
161000 -1.30878 1.81544 0.506658
162000 -1.31999 1.82201 0.502026
163000 -1.36135 1.84418 0.482837
164000 -1.35357 1.84343 0.489863
165000 -1.33154 1.83061 0.499063
166000 -1.31351 1.81859 0.505075
167000 -1.35799 1.84215 0.484156
168000 -1.3675 1.85384 0.486337
169000 -1.32733 1.8256 0.49827
170000 -1.3404 1.83492 0.494518
171000 -1.32839 1.82814 0.499746
172000 -1.36846 1.85232 0.483862
173000 -1.377 1.85544 0.47844
174000 -1.37759 1.85763 0.480038
175000 -1.38017 1.85621 0.476034
176000 -1.40115 1.87327 0.472125
177000 -1.35213 1.84642 0.494289
178000 -1.34708 1.83689 0.489807
179000 -1.36515 1.85437 0.48922
180000 -1.36646 1.85672 0.490258
181000 -1.36144 1.84694 0.485502
182000 -1.37687 1.85593 0.479068
183000 -1.36504 1.85111 0.486067
184000 -1.38996 1.85297 0.463013
185000 -1.34102 1.83024 0.48922
186000 -1.32717 1.82219 0.495025
187000 -1.39791 1.86717 0.469263
188000 -1.35309 1.83699 0.4839
189000 -1.33644 1.83565 0.499215
190000 -1.34885 1.83893 0.490075
191000 -1.2976 1.80847 0.510877
192000 -1.31262 1.82748 0.514858
193000 -1.35555 1.84756 0.492007
194000 -1.35206 1.84901 0.496944
195000 -1.37437 1.85391 0.47954
196000 -1.33264 1.83005 0.497418
197000 -1.34183 1.84038 0.498547
198000 -1.31919 1.8244 0.505219
199000 -1.34856 1.84685 0.498295
200000 -1.39504 1.87333 0.478299
