# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.38687 1.97723 0.590358
52000 -1.40854 1.99916 0.590617
53000 -1.42564 2.00922 0.583584
54000 -1.38544 1.97227 0.586836
55000 -1.37721 1.96663 0.589417
56000 -1.37525 1.96576 0.59051
57000 -1.37228 1.96544 0.593159
58000 -1.34545 1.9395 0.594052
59000 -1.36853 1.95909 0.590558
60000 -1.3894 1.97602 0.586618
61000 -1.40491 1.98627 0.581358
62000 -1.45385 2.03786 0.58401
63000 -1.39585 1.98819 0.592343
64000 -1.40326 1.98861 0.585343
65000 -1.40095 1.98718 0.586227
66000 -1.45342 2.03052 0.577095
67000 -1.44999 2.02999 0.579998
68000 -1.43628 2.01924 0.582963
69000 -1.34053 1.93552 0.594988
70000 -1.34596 1.93684 0.590884
71000 -1.38569 1.97273 0.587038
72000 -1.365 1.95329 0.588286
73000 -1.40689 1.98958 0.58269
74000 -1.37869 1.96971 0.591018
75000 -1.35942 1.95349 0.594074
76000 -1.40214 1.98492 0.582783
77000 -1.3858 1.97326 0.587466
78000 -1.35437 1.94903 0.594662
79000 -1.38789 1.97657 0.588672
80000 -1.37314 1.96571 0.592566
81000 -1.30632 1.90236 0.596034
82000 -1.34076 1.93018 0.589421
83000 -1.43395 2.00824 0.574293
84000 -1.37792 1.96905 0.591124
85000 -1.33341 1.92926 0.595854
86000 -1.34856 1.93555 0.586987
87000 -1.35533 1.94447 0.589143
88000 -1.40257 1.98581 0.583234
89000 -1.40803 1.99317 0.585139
90000 -1.46692 2.04535 0.578426
91000 -1.44036 2.02107 0.580708
92000 -1.44352 2.02214 0.578622
93000 -1.43505 2.0157 0.580651
94000 -1.41128 1.99837 0.587091
95000 -1.38404 1.96943 0.585388
96000 -1.41037 1.99455 0.584174
97000 -1.44302 2.02708 0.584067
98000 -1.42131 2.00953 0.588223
99000 -1.36176 1.95517 0.593408
100000 -1.38851 1.97491 0.586397
101000 -1.4198 2.0068 0.586999
102000 -1.40581 1.98761 0.581803
103000 -1.4012 1.98834 0.587141
104000 -1.40844 1.99548 0.58704
105000 -1.40557 1.99431 0.588735
