# Time-averaged data for fix 2
# TimeStep v_potEnergy v_kinEnergy v_totEnergy
51000 -1.39434 1.95529 0.560949
52000 -1.41443 1.97038 0.555959
53000 -1.39189 1.95671 0.564822
54000 -1.34354 1.91711 0.573566
55000 -1.40129 1.95918 0.557893
56000 -1.42671 1.98031 0.553602
57000 -1.45094 2.00507 0.554131
58000 -1.41538 1.97575 0.560369
59000 -1.37196 1.93697 0.565011
60000 -1.39324 1.96546 0.572222
61000 -1.39216 1.95794 0.565777
62000 -1.42166 1.97486 0.553197
63000 -1.3936 1.95498 0.561382
64000 -1.44114 1.9946 0.553463
65000 -1.4495 1.99853 0.549026
66000 -1.36756 1.93417 0.566617
67000 -1.38747 1.95508 0.567606
68000 -1.38735 1.94792 0.560578
69000 -1.39439 1.95604 0.561653
70000 -1.46485 2.01104 0.546199
71000 -1.47272 2.00878 0.536058
72000 -1.42501 1.98606 0.561054
73000 -1.41128 1.96791 0.556628
74000 -1.36618 1.94042 0.57424
75000 -1.36266 1.93393 0.571276
76000 -1.39275 1.95861 0.565855
77000 -1.3809 1.94419 0.563294
78000 -1.3938 1.95823 0.564432
79000 -1.41292 1.97327 0.56035
80000 -1.40504 1.96539 0.560347
81000 -1.36331 1.92933 0.566013
82000 -1.33312 1.91379 0.580674
83000 -1.37699 1.94564 0.568652
84000 -1.36268 1.93331 0.570628
85000 -1.4022 1.96348 0.561281
86000 -1.35143 1.92044 0.569019
87000 -1.32225 1.90485 0.5826
88000 -1.36458 1.93812 0.573546
89000 -1.42708 1.98 0.552917
90000 -1.39149 1.95687 0.565388
91000 -1.38215 1.95154 0.569391
92000 -1.35262 1.92012 0.567502
93000 -1.35097 1.92089 0.569919
94000 -1.41266 1.97054 0.557884
95000 -1.36523 1.93016 0.564928
96000 -1.38041 1.94303 0.562617
97000 -1.38104 1.94371 0.562672
98000 -1.38528 1.94658 0.561299
99000 -1.42384 1.98043 0.556594
100000 -1.41106 1.96819 0.557126
101000 -1.42218 1.97968 0.557498
102000 -1.42661 1.98069 0.554083
103000 -1.44717 2.00127 0.554104
104000 -1.36604 1.93793 0.571893
105000 -1.35609 1.92639 0.570298
106000 -1.33609 1.91514 0.579051
107000 -1.3338 1.90978 0.575984
108000 -1.36409 1.93723 0.573142
109000 -1.4547 2.00432 0.549615
110000 -1.34345 1.91687 0.573419
111000 -1.37194 1.93745 0.565513
112000 -1.34582 1.91896 0.573142
113000 -1.36387 1.93788 0.574012
114000 -1.32695 1.9062 0.579258
115000 -1.34907 1.92023 0.571155
116000 -1.36432 1.93391 0.569591
117000 -1.3892 1.95904 0.569838
118000 -1.35698 1.93112 0.574137
119000 -1.32721 1.90218 0.57497
120000 -1.28979 1.87174 0.581957
121000 -1.36497 1.9342 0.569238
122000 -1.36581 1.93191 0.566106
123000 -1.37149 1.94352 0.572024
124000 -1.36115 1.93542 0.574266
125000 -1.3938 1.94806 0.554263
126000 -1.45463 2.00349 0.548861
127000 -1.38326 1.95289 0.569632
128000 -1.4284 1.98508 0.55668
129000 -1.4395 1.99287 0.553368
130000 -1.35856 1.93276 0.574203
131000 -1.40088 1.96299 0.562105
132000 -1.40307 1.95694 0.553874
133000 -1.43745 1.99452 0.557062
134000 -1.44256 1.99757 0.555017
135000 -1.43129 1.98002 0.54873
136000 -1.43512 1.98355 0.548428
137000 -1.42259 1.97743 0.554845
138000 -1.3228 1.90181 0.579014
139000 -1.39221 1.95903 0.566823
140000 -1.39761 1.96297 0.565356
141000 -1.34401 1.92146 0.577452
142000 -1.37038 1.93907 0.568683
143000 -1.37317 1.9429 0.569732
144000 -1.33314 1.91245 0.57931
145000 -1.38382 1.9482 0.564388
146000 -1.35707 1.92813 0.571056
147000 -1.42511 1.97736 0.552256
148000 -1.40442 1.965 0.56058
149000 -1.35865 1.93029 0.571632
150000 -1.39874 1.95845 0.559708
151000 -1.42317 1.98569 0.562528
152000 -1.3845 1.95325 0.56875
153000 -1.39514 1.96068 0.56554
154000 -1.4566 2.00466 0.54806
155000 -1.44353 1.99348 0.549951
156000 -1.39712 1.96594 0.56882
157000 -1.34103 1.91761 0.576575
158000 -1.39686 1.96201 0.565153
159000 -1.37749 1.94442 0.566935
160000 -1.4446 1.98712 0.542513
161000 -1.35701 1.92493 0.567917
162000 -1.40089 1.96197 0.561084
163000 -1.43175 1.9874 0.555649
164000 -1.45902 2.01097 0.551953
165000 -1.48078 2.02049 0.539708
166000 -1.43087 1.98516 0.554297
167000 -1.38942 1.95259 0.563178
168000 -1.39822 1.96004 0.561827
169000 -1.41945 1.97602 0.556564
170000 -1.35891 1.93577 0.576851
171000 -1.33878 1.91955 0.580772
172000 -1.33233 1.90979 0.577454
173000 -1.39252 1.96281 0.570286
174000 -1.39382 1.96047 0.566651
175000 -1.3929 1.95241 0.559509
176000 -1.36714 1.93336 0.566214
177000 -1.42084 1.96867 0.547834
178000 -1.373 1.94057 0.567561
179000 -1.40889 1.96431 0.555417
180000 -1.41727 1.97615 0.558874
181000 -1.40047 1.96169 0.561225
182000 -1.42033 1.96592 0.545587
183000 -1.42304 1.97782 0.554784
184000 -1.3386 1.9156 0.576997
185000 -1.3825 1.94721 0.564716
186000 -1.41107 1.9698 0.558723
187000 -1.42715 1.97618 0.549036
188000 -1.39947 1.9601 0.560637
189000 -1.44906 2.00185 0.552792
190000 -1.38491 1.94764 0.562735
191000 -1.36409 1.93669 0.572598
192000 -1.35146 1.92522 0.573755
193000 -1.39334 1.95931 0.565972
194000 -1.34117 1.92283 0.581666
195000 -1.40408 1.96133 0.557251
196000 -1.41402 1.96841 0.554388
197000 -1.34815 1.92085 0.572699
198000 -1.41721 1.97388 0.55667
199000 -1.41834 1.97189 0.553549
200000 -1.44806 1.99992 0.551857
