# Time-averaged data for fix 2
# TimeStep v_kinEnergy v_temperature
51000 3.02168 2.02603
52000 2.88803 1.93642
53000 2.71972 1.82357
54000 2.79647 1.87502
55000 3.20175 2.14677
56000 3.04188 2.03958
57000 2.83877 1.90339
58000 2.98078 1.9986
59000 3.41326 2.28858
60000 3.25871 2.18496
61000 2.93575 1.96841
62000 2.93943 1.97088
63000 3.0199 2.02484
64000 3.18031 2.13239
65000 2.93959 1.97099
66000 2.71442 1.82001
67000 2.90289 1.94638
68000 3.07728 2.06331
69000 3.07721 2.06326
70000 2.91182 1.95237
71000 2.89671 1.94224
72000 3.0384 2.03724
73000 3.31392 2.22198
74000 3.00602 2.01553
75000 2.8592 1.91709
76000 2.9578 1.9832
77000 3.12391 2.09458
78000 3.33365 2.23521
79000 3.11585 2.08917
80000 2.78135 1.86489
81000 2.90085 1.94501
82000 3.14415 2.10814
83000 3.12884 2.09788
84000 2.7763 1.86151
85000 2.70874 1.81621
86000 2.90326 1.94663
87000 3.09299 2.07385
88000 3.09098 2.0725
89000 2.80108 1.87812
90000 2.69709 1.80839
91000 3.06938 2.05802
92000 3.12496 2.09528
93000 2.92894 1.96385
94000 2.8373 1.9024
95000 3.02456 2.02796
96000 3.3082 2.21814
97000 3.05209 2.04642
98000 2.92865 1.96365
99000 2.96456 1.98773
100000 3.04231 2.03986
101000 3.11916 2.09139
102000 2.85605 1.91497
103000 2.73807 1.83587
104000 3.01926 2.02441
105000 3.17149 2.12648
106000 3.05775 2.05022
107000 2.92301 1.95987
108000 2.91366 1.95361
109000 3.09716 2.07664
110000 3.35546 2.24983
111000 3.30447 2.21564
112000 2.91686 1.95575
113000 2.83395 1.90016
114000 3.13191 2.09994
115000 3.11002 2.08527
116000 2.7389 1.83643
117000 2.69889 1.8096
118000 2.96067 1.98512
119000 3.03948 2.03797
120000 2.96816 1.99014
121000 2.92824 1.96338
122000 2.78602 1.86802
123000 2.98322 2.00024
124000 3.17985 2.13208
125000 3.09981 2.07842
126000 2.75952 1.85025
127000 2.86226 1.91914
128000 2.97026 1.99156
129000 3.0404 2.03858
130000 3.01518 2.02167
131000 2.68198 1.79826
132000 2.72531 1.82732
133000 3.04814 2.04377
134000 3.09325 2.07402
135000 2.93582 1.96846
136000 2.77525 1.8608
137000 3.09479 2.07505
138000 3.27386 2.19511
139000 3.00868 2.01731
140000 2.83813 1.90296
141000 2.92776 1.96306
142000 3.1282 2.09745
143000 3.03012 2.03169
144000 2.83866 1.90332
145000 2.91179 1.95235
146000 3.01486 2.02146
147000 3.08479 2.06835
148000 2.96304 1.98671
149000 2.78964 1.87045
150000 2.81878 1.88999
151000 3.23091 2.16632
152000 3.16114 2.11954
153000 2.91278 1.95301
154000 2.89013 1.93782
155000 3.06696 2.05639
156000 3.33265 2.23454
157000 3.26871 2.19167
158000 2.86042 1.9179
159000 2.8152 1.88758
160000 3.06744 2.05671
161000 3.17501 2.12883
162000 3.00277 2.01335
163000 2.89961 1.94418
164000 2.92827 1.9634
165000 3.04956 2.04473
166000 3.10527 2.08208
167000 2.84867 1.91003
168000 2.72156 1.8248
169000 2.98566 2.00188
170000 3.1588 2.11797
171000 2.99493 2.0081
172000 2.88801 1.93641
173000 3.08873 2.07099
174000 3.36404 2.25559
175000 3.0948 2.07506
176000 2.84818 1.9097
177000 2.93794 1.96988
178000 3.09776 2.07704
179000 3.24472 2.17558
180000 2.91709 1.9559
181000 2.77964 1.86374
182000 2.99473 2.00796
183000 3.18187 2.13344
184000 2.98305 2.00013
185000 2.64654 1.7745
186000 2.80919 1.88356
187000 3.04991 2.04496
188000 3.10264 2.08031
189000 2.88725 1.93589
190000 2.74205 1.83854
191000 2.94384 1.97384
192000 3.24989 2.17905
193000 3.03834 2.0372
194000 2.80849 1.88308
195000 2.89058 1.93813
196000 3.13552 2.10236
197000 3.09859 2.0776
198000 2.97467 1.99451
199000 2.96249 1.98634
200000 2.88379 1.93357
201000 3.05749 2.05004
202000 3.16964 2.12524
203000 3.07279 2.0603
204000 2.76415 1.85335
205000 2.83982 1.90409
206000 3.06883 2.05765
207000 3.05464 2.04813
208000 2.98671 2.00258
209000 2.89275 1.93958
210000 3.01838 2.02382
211000 3.3473 2.24436
212000 3.04435 2.04123
213000 2.90285 1.94636
214000 2.94655 1.97566
215000 3.09381 2.0744
216000 3.14727 2.11024
217000 3.02075 2.0254
218000 2.81501 1.88746
219000 2.91752 1.95619
220000 3.19834 2.14448
221000 3.19238 2.14048
222000 2.78395 1.86664
223000 2.79766 1.87582
224000 3.05547 2.04869
225000 3.08738 2.07008
226000 2.83984 1.90411
227000 2.57619 1.72733
228000 2.81749 1.88912
229000 3.14029 2.10556
230000 2.99176 2.00597
231000 2.83977 1.90406
232000 2.95231 1.97952
233000 3.22062 2.15942
234000 3.20283 2.14749
235000 2.82483 1.89404
236000 2.86513 1.92106
237000 3.00089 2.01209
238000 3.12462 2.09505
239000 2.85794 1.91625
240000 2.62985 1.76331
241000 2.8185 1.8898
242000 2.97849 1.99707
243000 3.07995 2.0651
244000 2.91482 1.95438
245000 2.75365 1.84632
246000 2.9455 1.97495
247000 3.2517 2.18026
248000 3.08208 2.06653
249000 2.85633 1.91516
250000 2.87116 1.92511
251000 3.02982 2.03149
252000 3.04073 2.03881
253000 2.96407 1.98741
254000 2.71539 1.82067
