# Time-averaged data for fix 2
# TimeStep v_kinEnergy v_temperature
51000 2.83079 1.89986
52000 3.17639 2.1318
53000 3.17756 2.13259
54000 2.72169 1.82664
55000 2.72977 1.83206
56000 3.00204 2.01479
57000 3.14905 2.11346
58000 3.00332 2.01565
59000 2.6935 1.80772
60000 2.82368 1.89509
61000 3.26511 2.19135
62000 3.09503 2.0772
63000 2.85005 1.91278
64000 2.86793 1.92478
65000 3.11343 2.08955
66000 3.30221 2.21625
67000 2.8727 1.92799
68000 2.73368 1.83469
69000 2.96807 1.99199
70000 3.15919 2.12026
71000 2.99709 2.01147
72000 2.68991 1.80531
73000 2.86449 1.92247
74000 3.311 2.22215
75000 3.09811 2.07927
76000 2.80797 1.88454
77000 2.90427 1.94917
78000 3.20684 2.15224
79000 3.24853 2.18022
80000 2.84599 1.91006
81000 2.69408 1.8081
82000 3.04408 2.043
83000 3.13718 2.10549
84000 2.90988 1.95294
85000 2.6961 1.80946
86000 2.75655 1.85003
87000 3.1556 2.11785
88000 3.15732 2.11901
89000 2.87527 1.92971
90000 2.77986 1.86568
91000 3.04839 2.0459
92000 3.21749 2.15939
93000 3.10631 2.08477
94000 2.97995 1.99997
95000 2.93639 1.97073
96000 2.97255 1.995
97000 3.07421 2.06323
98000 2.91862 1.9588
99000 2.73302 1.83424
100000 2.957 1.98457
101000 3.25842 2.18686
102000 3.0601 2.05376
103000 2.90239 1.94791
104000 2.9191 1.95913
105000 2.99488 2.00999
106000 3.03382 2.03612
107000 2.88379 1.93543
108000 2.62491 1.76169
109000 2.89959 1.94603
110000 3.1545 2.11712
111000 3.01263 2.0219
112000 2.8098 1.88577
113000 2.59256 1.73997
114000 2.93329 1.96865
115000 3.21825 2.1599
116000 2.94471 1.97632
117000 2.77253 1.86076
118000 3.07648 2.06475
119000 3.3599 2.25497
120000 3.06659 2.05812
121000 2.96798 1.99193
122000 2.96596 1.99058
123000 2.96515 1.99003
124000 3.01274 2.02197
125000 3.08184 2.06835
126000 3.16331 2.12303
127000 2.87899 1.93221
128000 2.69073 1.80586
129000 3.00058 2.01381
130000 3.17021 2.12766
131000 2.9995 2.01309
132000 2.88277 1.93474
133000 2.94453 1.9762
134000 3.40646 2.28621
135000 3.17064 2.12795
136000 2.84742 1.91102
137000 2.9014 1.94725
138000 3.15591 2.11806
139000 3.00756 2.0185
140000 2.66161 1.78632
141000 2.70445 1.81507
142000 2.97055 1.99366
143000 3.03329 2.03576
144000 2.9891 2.00611
145000 2.81045 1.88621
146000 2.71947 1.82515
147000 3.09281 2.07571
148000 3.23649 2.17214
149000 2.92757 1.96482
150000 2.8527 1.91456
151000 2.95664 1.98432
152000 3.01788 2.02542
153000 3.01633 2.02439
154000 2.99604 2.01077
155000 2.86488 1.92274
156000 3.06574 2.05754
157000 3.37306 2.2638
158000 3.01918 2.02629
159000 2.83952 1.90572
160000 2.92069 1.9602
161000 3.12656 2.09836
162000 3.11217 2.08871
163000 2.7302 1.83235
164000 2.69481 1.8086
165000 3.04882 2.04619
166000 3.13526 2.1042
167000 2.89774 1.94479
168000 2.78536 1.86937
169000 3.11867 2.09307
170000 3.31787 2.22676
171000 2.99239 2.00831
172000 2.78155 1.86681
173000 3.00311 2.01551
174000 3.09713 2.07861
175000 2.92819 1.96523
176000 2.50286 1.67977
177000 2.60807 1.75039
178000 3.02295 2.02883
179000 3.0818 2.06832
180000 2.88122 1.93371
181000 2.77405 1.86178
182000 3.17911 2.13363
183000 3.29526 2.21158
184000 2.94287 1.97508
185000 2.83777 1.90454
186000 2.95434 1.98278
187000 3.15263 2.11586
188000 2.96107 1.9873
189000 2.61287 1.75361
190000 2.79552 1.87619
191000 3.05692 2.05162
